Date,Spotify Streams,Change
"Jul 24, 2017",0,0.0
"Jul 25, 2017",1746,1746.0
"Jul 26, 2017",3483,1737.0
"Jul 27, 2017",5211,1728.0
"Jul 28, 2017",6930,1719.0
"Jul 29, 2017",8641,1711.0
"Jul 30, 2017",10342,1701.0
"Jul 31, 2017",12035,1693.0
"Aug 1, 2017",13719,1684.0
"Aug 2, 2017",15394,1675.0
"Aug 3, 2017",17061,1667.0
"Aug 4, 2017",18719,1658.0
"Aug 5, 2017",20369,1650.0
"Aug 6, 2017",22010,1641.0
"Aug 7, 2017",23643,1633.0
"Aug 8, 2017",25268,1625.0
"Aug 9, 2017",26885,1617.0
"Aug 10, 2017",28493,1608.0
"Aug 11, 2017",30093,1600.0
"Aug 12, 2017",31686,1593.0
"Aug 13, 2017",33270,1584.0
"Aug 14, 2017",34847,1577.0
"Aug 15, 2017",36415,1568.0
"Aug 16, 2017",37976,1561.0
"Aug 17, 2017",39529,1553.0
"Aug 18, 2017",41075,1546.0
"Aug 19, 2017",42612,1537.0
"Aug 20, 2017",44142,1530.0
"Aug 21, 2017",45665,1523.0
"Aug 22, 2017",47180,1515.0
"Aug 23, 2017",48688,1508.0
"Aug 24, 2017",50189,1501.0
"Aug 25, 2017",51682,1493.0
"Aug 26, 2017",53168,1486.0
"Aug 27, 2017",54646,1478.0
"Aug 28, 2017",56118,1472.0
"Aug 29, 2017",57583,1465.0
"Aug 30, 2017",59040,1457.0
"Aug 31, 2017",60491,1451.0
"Sep 1, 2017",61934,1443.0
"Sep 2, 2017",63371,1437.0
"Sep 3, 2017",64801,1430.0
"Sep 4, 2017",66224,1423.0
"Sep 5, 2017",67641,1417.0
"Sep 6, 2017",69050,1409.0
"Sep 7, 2017",70453,1403.0
"Sep 8, 2017",71850,1397.0
"Sep 9, 2017",73240,1390.0
"Sep 10, 2017",74624,1384.0
"Sep 11, 2017",76001,1377.0
"Sep 12, 2017",77372,1371.0
"Sep 13, 2017",78736,1364.0
"Sep 14, 2017",80094,1358.0
"Sep 15, 2017",81446,1352.0
"Sep 16, 2017",82792,1346.0
"Sep 17, 2017",84132,1340.0
"Sep 18, 2017",85465,1333.0
"Sep 19, 2017",86793,1328.0
"Sep 20, 2017",88114,1321.0
"Sep 21, 2017",89430,1316.0
"Sep 22, 2017",90740,1310.0
"Sep 23, 2017",92043,1303.0
"Sep 24, 2017",93341,1298.0
"Sep 25, 2017",94634,1293.0
"Sep 26, 2017",95920,1286.0
"Sep 27, 2017",97201,1281.0
"Sep 28, 2017",98476,1275.0
"Sep 29, 2017",99745,1269.0
"Sep 30, 2017",101009,1264.0
"Oct 1, 2017",102268,1259.0
"Oct 2, 2017",103521,1253.0
"Oct 3, 2017",104768,1247.0
"Oct 4, 2017",106011,1243.0
"Oct 5, 2017",107247,1236.0
"Oct 6, 2017",108479,1232.0
"Oct 7, 2017",109705,1226.0
"Oct 8, 2017",110926,1221.0
"Oct 9, 2017",112142,1216.0
"Oct 10, 2017",113352,1210.0
"Oct 11, 2017",114558,1206.0
"Oct 12, 2017",115758,1200.0
"Oct 13, 2017",116954,1196.0
"Oct 14, 2017",118144,1190.0
"Oct 15, 2017",119329,1185.0
"Oct 16, 2017",120510,1181.0
"Oct 17, 2017",121685,1175.0
"Oct 18, 2017",122856,1171.0
"Oct 19, 2017",124022,1166.0
"Oct 20, 2017",125183,1161.0
"Oct 21, 2017",126339,1156.0
"Oct 22, 2017",127491,1152.0
"Oct 23, 2017",128638,1147.0
"Oct 24, 2017",129780,1142.0
"Oct 25, 2017",130918,1138.0
"Oct 26, 2017",132051,1133.0
"Oct 27, 2017",133180,1129.0
"Oct 28, 2017",134304,1124.0
"Oct 29, 2017",135424,1120.0
"Oct 30, 2017",136539,1115.0
"Oct 31, 2017",137650,1111.0
"Nov 1, 2017",138756,1106.0
"Nov 2, 2017",139858,1102.0
"Nov 3, 2017",140956,1098.0
"Nov 4, 2017",142050,1094.0
"Nov 5, 2017",143139,1089.0
"Nov 6, 2017",144224,1085.0
"Nov 7, 2017",145305,1081.0
"Nov 8, 2017",146382,1077.0
"Nov 9, 2017",147455,1073.0
"Nov 10, 2017",148523,1068.0
"Nov 11, 2017",149588,1065.0
"Nov 12, 2017",150648,1060.0
"Nov 13, 2017",151705,1057.0
"Nov 14, 2017",152757,1052.0
"Nov 15, 2017",153806,1049.0
"Nov 16, 2017",154850,1044.0
"Nov 17, 2017",155891,1041.0
"Nov 18, 2017",156928,1037.0
"Nov 19, 2017",157961,1033.0
"Nov 20, 2017",158991,1030.0
"Nov 21, 2017",160016,1025.0
"Nov 22, 2017",161038,1022.0
