event_category,n_pairs,avg_pair_corr,avg_random_corr,uplift_vs_global_pair_mean,uplift_vs_global_random_mean
ai_melody,2,-0.019609464371114008,0.054212909668692764,-0.07551355355644263,-0.06320645716234888
copy_unauthorized,3,-0.14854507240218703,0.034312910641430855,-0.20444916158751564,-0.19214206519342192
inspired,2,0.2886556084991341,0.05730999632049968,0.23275151931380544,0.24505861570789922
remake_licensed,5,0.17641518440239792,0.05946255059825073,0.1205110952170693,0.13281819161116304
remix_official,2,0.008291909222510094,-0.034005627288708,-0.047612179962818524,-0.03530508356872478
remix_user,3,-0.2893593275399417,0.008754774464602356,-0.34526341672527033,-0.33295632033117656
sampling,3,0.3316809849399696,0.09679649670479173,0.275776895754641,0.28808399214873476
