event_category,n_pairs,avg_pair_corr,avg_random_corr,uplift_vs_global_pair_mean,uplift_vs_global_random_mean
ai_cover,1,0.4239133696049458,0.049206842491756865,0.4246527756814211,0.346277865242835
ai_melody,2,0.3114714621384097,0.15330302563377213,0.31221086821488503,0.2338359577762989
copy_unauthorized,5,0.15392260703195715,0.05345305353015019,0.1546620131084325,0.07628710266984633
inspired,3,0.29627756036224157,0.12553306872420786,0.2970169664387169,0.21864205600013076
remake_licensed,5,-0.1776487425265763,0.07768054160476562,-0.17690933645010096,-0.2552842468886871
remix_official,2,0.022797397219075782,0.059908487778941685,0.02353680329555113,-0.05483810714303504
remix_user,3,-0.6410583306020502,0.02372684384107207,-0.6403189245255748,-0.7186938349641611
sampling,3,0.014258718012398827,0.09484154216433062,0.014998124088874177,-0.063376786349712
