pair_id,event_category,pearson_pair,random_avg,random_ci_low,random_ci_high,uplift_vs_random,n_random_tracks_sampled,n_random_correlations
PAIR001,remake_licensed,0.6842189124368927,0.26950401067750335,0.2565557908936321,0.28378962238516703,0.41471490175938935,30,3922
PAIR002,remake_licensed,0.8031015441689313,0.22732233330860796,0.21296262712489203,0.24194020811296874,0.5757792108603234,30,4000
PAIR004,remake_licensed,0.9525417710893718,0.24184883314288774,0.22422510321823133,0.2588224119012974,0.710692937946484,30,4000
PAIR005,ai_melody,0.1436841322732691,0.2221105819333131,0.21124037924405484,0.2341543007018902,-0.078426449660044,30,3833
PAIR006,remake_licensed,-0.29120630574370965,0.2693404013437735,0.2531230179448395,0.28777881569736946,-0.5605467070874832,30,3959
PAIR007,remix_official,0.7793817812022042,-0.0792824045095619,-0.09745789076591585,-0.06095745123291763,0.8586641857117662,30,3744
PAIR008,remake_licensed,-0.15961149208966754,0.2372512645578945,0.22247273512941754,0.2515346582010846,-0.39686275664756204,30,3959
PAIR009,copy_unauthorized,0.4157402377624628,0.36001270222160675,0.3454944166852221,0.3754821399087186,0.05572753554085608,30,3915
PAIR010,copy_unauthorized,0.7599955598557747,-0.02875621649318094,-0.049418041789413746,-0.0073341528803775825,0.7887517763489557,30,3329
PAIR011,copy_unauthorized,0.8191919131293678,0.2554207895399306,0.2413669394876191,0.2693311082507834,0.5637711235894372,30,3912
PAIR012,inspired,0.7513840674594147,0.37560682878485324,0.36264079525648313,0.39029447905281045,0.3757772386745614,30,3913
PAIR013,remix_official,-0.21618150936646963,0.11854590791048067,0.10835539864125811,0.12956780994031442,-0.3347274172769503,30,3843
PAIR014,ai_melody,-0.7582807952132857,0.06919750302996162,0.05540750514911915,0.08448505706481065,-0.8274782982432474,30,3873
PAIR015,copy_unauthorized,0.8137878541622666,0.205679151636831,0.1888490708097103,0.22272314586927341,0.6081087025254356,30,3760
PAIR016,inspired,0.859886243144637,0.1291660766494915,0.11035513042807119,0.14755344163632395,0.7307201664951455,30,4000
PAIR017,inspired,0.8622701957280898,0.3911351617759557,0.3781557114096716,0.40512584968738874,0.47113503395213413,30,3881
PAIR018,remix_user,0.6183758988237169,0.21573946151336856,0.20246869518499364,0.22834392429298572,0.40263643731034837,30,4000
PAIR019,remix_user,0.8557348497182226,0.21236309522108218,0.19885336654267494,0.22525962000513405,0.6433717544971403,30,4000
PAIR020,remix_user,0.3017658463756142,0.26777188933947277,0.25401548873322644,0.2831696928145197,0.03399395703614144,30,3916
PAIR021,ai_cover,0.7228009971796372,-0.2687193332131561,-0.2842620991023515,-0.2546035507990864,0.9915203303927933,30,3501
PAIR022,sampling,0.48363626251410596,0.32421886725064714,0.31073864066419443,0.33467575183584125,0.15941739526345883,30,4000
PAIR023,inspired,-0.6633264256187988,0.008490086701877515,-0.008197957870845186,0.025034111200020442,-0.6718165123206764,30,3334
PAIR024,sampling,0.3002163705299953,0.30365992191630725,0.2915222949611045,0.3150485843613396,-0.0034435513863119716,30,3826
PAIR025,sampling,0.0827633565270618,0.16009964167786522,0.1468489576096803,0.17208488344954617,-0.07733628515080343,30,3825
