pair_id,event_category,pearson_pair,random_avg,random_ci_low,random_ci_high,uplift_vs_random,n_random_tracks_sampled,n_random_correlations
PAIR001,remake_licensed,0.5678093667802637,0.19661829963118319,0.18671020152906462,0.20765167395840659,0.37119106714908057,30,3600
PAIR002,remake_licensed,0.6003352693953115,0.07773335957870624,0.06966949805198724,0.08539483940880999,0.5226019098166053,30,3600
PAIR005,ai_melody,0.18417369534522937,0.09425586349388583,0.08557691179632546,0.10418433075536934,0.08991783185134354,30,3600
PAIR007,remix_official,0.02009826014107077,-0.05562016510673541,-0.06655942556327597,-0.0446399398461334,0.07571842524780618,30,3600
PAIR008,remake_licensed,0.23079078560078864,0.06415111983357567,0.05824988042345829,0.06988918702660461,0.16663966576721295,30,3600
PAIR009,copy_unauthorized,0.03592847980557347,0.08154506903282094,0.07332436346389001,0.08947960911289397,-0.04561658922724747,30,3600
PAIR011,copy_unauthorized,-0.4403846692110497,-0.03114966150687948,-0.0410820257097364,-0.02110861588433358,-0.4092350077041702,30,3600
PAIR012,inspired,0.4743376846303906,0.11391122896713025,0.10320712113617007,0.12569032425569218,0.36042645566326037,30,3600
PAIR013,remix_official,0.3426664010980347,0.07981332831199561,0.07080596144085613,0.08808312038454358,0.2628530727860391,30,3600
PAIR014,ai_melody,-0.03077362925584112,0.005075037802007797,-0.0013874593538228122,0.011483369967953544,-0.035848667057848914,30,3600
PAIR015,copy_unauthorized,-0.17306427622825046,-0.030920124190423028,-0.039429594192311665,-0.021274007829340396,-0.14214415203782743,30,3600
PAIR016,inspired,0.35246094773128966,0.11835189284431967,0.10875328469339843,0.1282816569598465,0.23410905488696998,30,3600
PAIR018,remix_user,0.5642819166573534,0.15673658828741413,0.1467540419306467,0.1669016395897612,0.4075453283699393,30,3600
PAIR019,remix_user,0.7281179764789406,0.16757230652115201,0.157003835413327,0.17765326636684603,0.5605456699577887,30,3600
PAIR022,sampling,0.19421073084272156,0.09717705644090062,0.08880382061342862,0.1048899958402029,0.09703367440182094,30,3600
PAIR024,sampling,0.34045309273518276,0.06845855773027659,0.06035560454891522,0.07600918364790035,0.27199453500490617,30,3600
PAIR025,sampling,0.11257999371335835,0.0821713859383628,0.07189236438059732,0.09277099621859712,0.030408607774995544,30,3600
