event_category,n_pairs,avg_pair_corr,avg_random_corr,uplift_vs_global_pair_mean,uplift_vs_global_random_mean
ai_melody,2,0.07670003304469412,0.049665450647946814,-0.1647130273235628,0.001059965773535676
copy_unauthorized,3,-0.1925068218779089,0.0064917611118394765,-0.43391988224616584,-0.26814688914906737
inspired,2,0.41339931618084014,0.11613156090572496,0.1719862558125832,0.3377592489096817
remake_licensed,3,0.46631180725878796,0.11283425968115503,0.22489874689053102,0.3906717399876295
remix_official,2,0.18138233061955272,0.0120965816026301,-0.060030729748704215,0.10574226334839427
remix_user,2,0.6461999465681469,0.1621544474042831,0.40478688619989,0.5705598792969885
sampling,3,0.21574793909708756,0.08260233336984667,-0.025665121271169378,0.1401078718259291
