pair_id,event_category,pearson_pair,random_avg,random_ci_low,random_ci_high,uplift_vs_random,n_random_tracks_sampled,n_random_correlations
PAIR001,remake_licensed,0.5670670813869,0.1351438458531542,0.11964575049899541,0.15028792718198442,0.4319232355337458,30,3922
PAIR002,remake_licensed,-0.21779620555795182,0.08350380540642352,0.07235325088603,0.0942394102251043,-0.3013000109643753,30,3920
PAIR003,copy_unauthorized,0.33448470626697857,-0.047592699299488415,-0.05935310395539113,-0.037186613012845135,0.38207740556646697,30,3926
PAIR004,remake_licensed,-0.027225287455936054,0.03756673414212824,0.024701095215448048,0.04828870022699332,-0.0647920215980643,30,3918
PAIR005,ai_melody,0.25955062442983884,0.19632417032343108,0.18535217311977248,0.20680493093410768,0.06322645410640776,30,3918
PAIR006,remake_licensed,-0.7086427883746442,0.057654850291249414,0.04063795527997178,0.07594143846008171,-0.7662976386658936,30,3912
PAIR007,remix_official,0.3255115710044721,0.05075876649327223,0.03843123017465165,0.06296274803252515,0.2747528045111999,30,3912
PAIR008,remake_licensed,-0.5016465126312494,0.07453347233087274,0.05914961883551707,0.08720356795865469,-0.5761799849621221,30,3916
PAIR009,copy_unauthorized,-0.6384880847789001,0.04163335004466616,0.026173175025770806,0.05808894955462757,-0.6801214348235662,30,3914
PAIR010,copy_unauthorized,0.1793428712937633,0.08819848368530958,0.07752748203712319,0.0989707530828393,0.09114438760845373,30,3914
PAIR011,copy_unauthorized,0.15846476182883848,0.030759494918857922,0.026463947250169415,0.035014180513906944,0.12770526690998055,30,3912
PAIR012,inspired,0.15563636828604124,0.10421990858179178,0.09374189478496395,0.11345565974000504,0.05141645970424946,30,3924
PAIR013,remix_official,-0.2799167765663205,0.06905820906461113,0.053278935311267546,0.08374538393434859,-0.34897498563093166,30,3916
PAIR014,ai_melody,0.3633922998469806,0.11028188094411318,0.10012170305267169,0.12133850712282088,0.25311041890286745,30,3916
PAIR015,copy_unauthorized,0.7358087805491055,0.15426663830140566,0.14392269676874087,0.16475550028895286,0.5815421422476998,30,3914
PAIR016,inspired,0.4910000069593955,0.16245010856062828,0.1497870288414134,0.1777409084285898,0.32854989839876725,30,3916
PAIR017,inspired,0.24219630584128793,0.10992918903020346,0.10316098714904255,0.11664000263580163,0.13226711681108447,30,3906
PAIR018,remix_user,-0.6266569522533816,0.03731023485959172,0.022400119283212915,0.05581593301764885,-0.6639671871129733,30,3918
PAIR019,remix_user,-0.76024007157288,-0.026991071775328425,-0.038767440982093344,-0.014099905001087598,-0.7332489997975515,30,3918
PAIR020,remix_user,-0.5362779679798889,0.06086136843895292,0.047326457153678086,0.07573477646890037,-0.5971393364188419,30,3914
PAIR021,ai_cover,0.4239133696049458,0.049206842491756865,0.04172445599856829,0.05666775100560323,0.3747065271131889,30,3922
PAIR022,sampling,-0.14966703855639027,0.11237636016760157,0.09948917920422884,0.12428317287393711,-0.26204339872399185,30,3912
PAIR024,sampling,-0.03841129403641806,0.025852270308292485,0.014413914802753796,0.0375979139165028,-0.06426356434471055,30,3918
PAIR025,sampling,0.2308544866300048,0.14629599601709783,0.13320089660057563,0.1588320680157292,0.08455849061290696,30,3914
