Date,Spotify Streams,Change
"Oct 15, 2024",26485770,0
"Oct 16, 2024",26485770,0
"Oct 17, 2024",27150193,664423
"Oct 18, 2024",27807457,657264
"Oct 19, 2024",28506596,699139
"Oct 20, 2024",29271796,765200
"Oct 21, 2024",30018791,746995
"Oct 22, 2024",30661404,642613
"Oct 23, 2024",31271365,609961
"Oct 24, 2024",31878545,607180
"Oct 25, 2024",32474359,595814
"Oct 26, 2024",33883925,1409566
"Oct 27, 2024",34602852,718927
"Oct 28, 2024",35337033,734181
"Oct 29, 2024",35971752,634719
"Oct 30, 2024",36699409,727657
"Oct 31, 2024",37500000,800591
"Nov 1, 2024",38272210,772210
"Nov 2, 2024",38974827,702617
"Nov 3, 2024",39696786,721959
"Nov 4, 2024",40401926,705140
"Nov 5, 2024",40970036,568110
"Nov 6, 2024",41537094,567058
"Nov 7, 2024",42084933,547839
"Nov 8, 2024",42640280,555347
"Nov 9, 2024",43212760,572480
"Nov 10, 2024",43860431,647671
"Nov 11, 2024",44494706,634275
"Nov 12, 2024",45027823,533117
"Nov 13, 2024",45537203,509380
"Nov 14, 2024",46049631,512428
"Nov 15, 2024",46572870,523239
"Nov 16, 2024",47102822,529952
"Nov 17, 2024",47691136,588314
"Nov 18, 2024",48267278,576142
"Nov 19, 2024",48742050,474772
"Nov 20, 2024",49209191,467141
"Nov 21, 2024",49669278,460087
"Nov 22, 2024",50124253,454975
"Nov 23, 2024",50598593,474340
"Nov 24, 2024",51120579,521986
"Nov 25, 2024",51622463,501884
"Nov 26, 2024",52013085,390622
"Nov 27, 2024",52389833,376748
"Nov 28, 2024",52773345,383512
"Nov 29, 2024",53155040,381695
"Nov 30, 2024",53544568,389528
"Dec 1, 2024",53970341,425773
"Dec 2, 2024",54386761,416420
"Dec 3, 2024",54742608,355847
"Dec 4, 2024",55107465,364857
"Dec 5, 2024",55471327,363862
"Dec 6, 2024",54873688,-597639
"Dec 7, 2024",54873688,0
"Dec 8, 2024",55232514,358826
"Dec 9, 2024",55869886,637372
"Dec 10, 2024",55869886,0
"Dec 11, 2024",56141603,271717
"Dec 12, 2024",56421042,279439
"Dec 13, 2024",56713465,292423
"Dec 14, 2024",56713465,0
"Dec 15, 2024",57008498,295033
"Dec 16, 2024",57635581,627083
"Dec 17, 2024",57887017,251436
"Dec 18, 2024",58117624,230607
"Dec 19, 2024",58367769,250145
"Dec 20, 2024",58634815,267046
"Dec 21, 2024",58920178,285363
"Dec 22, 2024",59240104,319926
"Dec 23, 2024",59559385,319281
"Dec 24, 2024",59855580,296195
"Dec 25, 2024",60186420,330840
"Dec 26, 2024",60513372,326952
"Dec 27, 2024",60803039,289667
"Dec 28, 2024",61091994,288955
"Dec 29, 2024",61405685,313691
"Dec 30, 2024",61717228,311543
"Dec 31, 2024",62001509,284281
"Jan 1, 2025",62379500,377991
"Jan 2, 2025",62677027,297527
"Jan 3, 2025",62930116,253089
"Jan 4, 2025",63171812,241696
"Jan 5, 2025",63443257,271445
"Jan 6, 2025",63710664,267407
"Jan 7, 2025",63936121,225457
"Jan 8, 2025",64159462,223341
"Jan 9, 2025",64389074,229612
"Jan 10, 2025",64618255,229181
"Jan 11, 2025",64863040,244785
"Jan 12, 2025",65156338,293298
"Jan 13, 2025",65447512,291174
"Jan 14, 2025",65721232,273720
"Jan 15, 2025",65984321,263089
"Jan 16, 2025",66241757,257436
"Jan 17, 2025",66495377,253620
"Jan 18, 2025",66738987,243610
"Jan 19, 2025",67001696,262709
"Jan 20, 2025",67258889,257193
"Jan 21, 2025",67470136,211247
"Jan 22, 2025",67680099,209963
"Jan 23, 2025",67885572,205473
"Jan 24, 2025",68097708,212136
"Jan 25, 2025",68309716,212008
"Jan 26, 2025",68545516,235800
"Jan 27, 2025",68783483,237967
"Jan 28, 2025",68981880,198397
"Jan 29, 2025",69185805,203925
"Jan 30, 2025",69386176,200371
"Jan 31, 2025",69587634,201458
"Feb 1, 2025",69799899,212265
"Feb 2, 2025",70039528,239629
"Feb 3, 2025",70278674,239146
"Feb 4, 2025",70476703,198029
"Feb 5, 2025",70674746,198043
"Feb 6, 2025",70870058,195312
"Feb 7, 2025",71063424,193366
"Feb 8, 2025",71260238,196814
"Feb 9, 2025",71478028,217790
"Feb 10, 2025",71693337,215309
"Feb 11, 2025",71877702,184365
"Feb 12, 2025",72064293,186591
"Feb 13, 2025",72236827,172534
"Feb 14, 2025",72406677,169850
"Feb 15, 2025",72584252,177575
"Feb 16, 2025",72787005,202753
"Feb 17, 2025",72973604,186599
"Feb 18, 2025",73142358,168754
"Feb 19, 2025",73302689,160331
"Feb 20, 2025",73467278,164589
"Feb 21, 2025",73634841,167563
"Feb 22, 2025",73818869,184028
"Feb 23, 2025",74029859,210990
"Feb 24, 2025",74232875,203016
"Feb 25, 2025",74391753,158878
"Feb 26, 2025",74556348,164595
"Feb 27, 2025",74720262,163914
"Feb 28, 2025",74894134,173872
"Mar 1, 2025",75076118,181984
"Mar 2, 2025",75269671,193553
"Mar 3, 2025",75443770,174099
"Mar 4, 2025",75600357,156587
"Mar 5, 2025",75735109,134752
"Mar 6, 2025",75735109,0
"Mar 7, 2025",76048314,313205
"Mar 8, 2025",76199720,151406
"Mar 9, 2025",76390520,190800
"Mar 10, 2025",76567881,177361
"Mar 11, 2025",76727435,159554
"Mar 12, 2025",76886019,158584
"Mar 13, 2025",77053061,167042
"Mar 14, 2025",77220442,167381
"Mar 15, 2025",77389927,169485
"Mar 16, 2025",77559411,169485
"Mar 17, 2025",77728896,169485
"Mar 18, 2025",77898380,169485
"Mar 19, 2025",78067865,169485
"Mar 20, 2025",78237349,169485
"Mar 21, 2025",78399833,162484
"Mar 22, 2025",78558730,158897
"Mar 23, 2025",78725748,167018
"Mar 24, 2025",78891447,165699
"Mar 25, 2025",79056346,164899
"Mar 26, 2025",79220600,164254
"Mar 27, 2025",79389175,168575
"Mar 28, 2025",79546924,157749
"Mar 29, 2025",79704293,157369
"Mar 30, 2025",79890783,186490
"Mar 31, 2025",80068906,178123
"Apr 1, 2025",80249863,180957
"Apr 2, 2025",80417614,167751
"Apr 3, 2025",80574310,156696
"Apr 4, 2025",80736005,161695
"Apr 5, 2025",80900125,164120
"Apr 6, 2025",81079044,178919
"Apr 7, 2025",81248766,169722
"Apr 8, 2025",81396319,147553
"Apr 9, 2025",81544757,148438
"Apr 10, 2025",81698808,154051
"Apr 11, 2025",81859090,160282
"Apr 12, 2025",82021738,162648
"Apr 13, 2025",82201776,180038
"Apr 14, 2025",82370816,169040
"Apr 15, 2025",82536287,165471
"Apr 16, 2025",82691861,155574
"Apr 17, 2025",82851465,159604
"Apr 18, 2025",83170007,318542
"Apr 19, 2025",83170007,0
"Apr 20, 2025",83331527,161520
"Apr 21, 2025",83486990,155463
"Apr 22, 2025",83631829,144839
"Apr 23, 2025",83771927,140098
"Apr 24, 2025",83915225,143298
"Apr 25, 2025",84065200,149975
"Apr 26, 2025",84213024,147824
"Apr 27, 2025",84375146,162122
"Apr 28, 2025",84527584,152438
"Apr 29, 2025",84673570,145986
"Apr 30, 2025",84817291,143721
"May 1, 2025",84967146,149855
"May 2, 2025",85113970,146824
"May 3, 2025",85261832,147862
"May 4, 2025",85409694,147862
"May 5, 2025",85565221,155527
"May 6, 2025",85707655,142434
"May 7, 2025",85851672,144017
"May 8, 2025",85985780,134108
"May 9, 2025",86128041,142261
"May 10, 2025",86276439,148398
"May 11, 2025",86276439,0
"May 12, 2025",86594603,318164
"May 13, 2025",86737184,142581
"May 14, 2025",86879542,142358
"May 15, 2025",87014560,135018
"May 16, 2025",87145898,131338
"May 17, 2025",87145898,0
"May 18, 2025",87431073,285175
"May 19, 2025",87572857,141784
"May 20, 2025",87706512,133655
"May 21, 2025",87835317,128805
"May 22, 2025",87965776,130459
"May 23, 2025",88098318,132542
"May 24, 2025",88234797,136479
"May 25, 2025",88371276,136479
"May 26, 2025",88507755,136479
"May 27, 2025",88644234,136479
"May 28, 2025",88773285,129051
"May 29, 2025",88909382,136097
"May 30, 2025",89039322,129940
"May 31, 2025",89166670,127348
"Jun 1, 2025",89304422,137752
"Jun 2, 2025",89430600,126178
"Jun 3, 2025",89541872,111272
"Jun 4, 2025",89650035,108163
"Jun 5, 2025",89758199,108163
"Jun 6, 2025",89866362,108163
"Jun 7, 2025",89980577,114215
"Jun 8, 2025",90224357,243780
"Jun 9, 2025",90224357,0
"Jun 10, 2025",90327794,103437
"Jun 11, 2025",90428432,100638
"Jun 12, 2025",90526816,98384
"Jun 13, 2025",90626312,99496
"Jun 14, 2025",90724170,97858
"Jun 15, 2025",90836302,112132
"Jun 16, 2025",90946525,110223
"Jun 17, 2025",91044702,98177
"Jun 18, 2025",91140186,95484
"Jun 19, 2025",91240649,100463
"Jun 20, 2025",91347409,106760
"Jun 21, 2025",91451082,103673
"Jun 22, 2025",91568985,117903
"Jun 23, 2025",91678805,109820
"Jun 24, 2025",91777654,98849
"Jun 25, 2025",91878690,101036
"Jun 26, 2025",91981473,102783
"Jun 27, 2025",92086262,104789
"Jun 28, 2025",92201890,115628
"Jun 29, 2025",92319056,117166
"Jun 30, 2025",92437388,118332
"Jul 1, 2025",92532275,94887
"Jul 2, 2025",92630789,98514
"Jul 3, 2025",92734992,104203
"Jul 4, 2025",92835907,100915
"Jul 5, 2025",92937834,101927
"Jul 6, 2025",93051248,113414
"Jul 7, 2025",93162823,111575
"Jul 8, 2025",93262238,99415
"Jul 9, 2025",93364397,102159
"Jul 10, 2025",93467247,102850
"Jul 11, 2025",93572683,105436
"Jul 12, 2025",93679808,107125
"Jul 13, 2025",93803162,123354
"Jul 14, 2025",93942456,139294
"Jul 15, 2025",94080289,137833
"Jul 16, 2025",94196526,116237
"Jul 17, 2025",94303470,106944
"Jul 18, 2025",94404803,101333
"Jul 19, 2025",94512387,107584
"Jul 20, 2025",94629279,116892
"Jul 21, 2025",94742272,112993
"Jul 22, 2025",94836121,93849
"Jul 23, 2025",94932842,96721
"Jul 24, 2025",95034051,101209
"Jul 25, 2025",95144660,110609
"Jul 26, 2025",95259123,114463
"Jul 27, 2025",95399312,140189
"Jul 28, 2025",95556856,157544
"Jul 29, 2025",95682952,126096
"Jul 30, 2025",95831171,148219
"Jul 31, 2025",95971336,140165
"Aug 1, 2025",96098741,127405
"Aug 2, 2025",96250388,151647
"Aug 3, 2025",96578937,328549
"Aug 4, 2025",96578937,0
"Aug 5, 2025",96733653,154716
"Aug 6, 2025",96873968,140315
"Aug 7, 2025",97013827,139859
"Aug 8, 2025",97152183,138356
"Aug 9, 2025",97303082,150899
"Aug 10, 2025",97472006,168924
"Aug 11, 2025",97619293,147287
"Aug 12, 2025",97763905,144612
"Aug 13, 2025",97925929,162024
"Aug 14, 2025",98090134,164205
"Aug 15, 2025",98298224,208090
"Aug 16, 2025",98517613,219389
"Aug 17, 2025",98741672,224059
"Aug 18, 2025",98977192,235520
"Aug 19, 2025",99183618,206426
"Aug 20, 2025",99386815,203197
"Aug 21, 2025",99577472,190657
"Aug 22, 2025",99756724,179252
"Aug 23, 2025",99942935,186211
"Aug 24, 2025",100166219,223284
"Aug 25, 2025",100376036,209817
"Aug 26, 2025",100558614,182578
"Aug 27, 2025",100751204,192590
"Aug 28, 2025",100922478,171274
"Aug 29, 2025",101125793,203315
"Aug 30, 2025",101334340,208547
"Aug 31, 2025",101555324,220984
"Sep 1, 2025",101781948,226624
"Sep 2, 2025",101993492,211544
"Sep 3, 2025",102197753,204261
"Sep 4, 2025",102439850,242097
"Sep 5, 2025",102704388,264538
"Sep 6, 2025",102704388,0
"Sep 7, 2025",102704388,0
"Sep 8, 2025",103510285,805897
"Sep 9, 2025",103725133,214848
"Sep 10, 2025",103939982,214848
"Sep 11, 2025",104154830,214848
"Sep 12, 2025",104369679,214848
"Sep 13, 2025",104584527,214848
"Sep 14, 2025",104799375,214848
"Sep 15, 2025",105014224,214848
"Sep 16, 2025",105229072,214848
"Sep 17, 2025",105426190,197118
"Sep 18, 2025",105622500,196310
"Sep 19, 2025",105812632,190132
"Sep 20, 2025",106003888,191256
"Sep 21, 2025",106205369,201481
"Sep 22, 2025",106395112,189743
"Sep 23, 2025",106557029,161917
"Sep 24, 2025",106728906,171877
"Sep 25, 2025",106898924,170018
"Sep 26, 2025",107086845,187921
"Sep 27, 2025",107304049,217204
"Sep 28, 2025",107523857,219808
"Sep 29, 2025",107741399,217542
"Sep 30, 2025",107942239,200840
"Oct 1, 2025",108167190,224951
"Oct 2, 2025",108395938,228748
"Oct 3, 2025",108599900,203962
"Oct 4, 2025",108784897,184997
"Oct 5, 2025",109004783,219886
"Oct 6, 2025",109214990,210207
"Oct 7, 2025",109389819,174829
"Oct 8, 2025",109569815,179996
"Oct 9, 2025",109748619,178804
"Oct 10, 2025",109918057,169438
"Oct 11, 2025",110091040,172983
"Oct 12, 2025",110280520,189480
"Oct 13, 2025",110449774,169254
"Oct 14, 2025",110604479,154705
"Oct 15, 2025",110767521,163042
"Oct 16, 2025",110921744,154223
"Oct 17, 2025",111076652,154908
"Oct 18, 2025",111243772,167120
"Oct 19, 2025",111452740,208968
"Oct 20, 2025",111636060,183320
"Oct 21, 2025",111792925,156865
"Oct 22, 2025",111972250,179325
"Oct 23, 2025",112144369,172119
"Oct 24, 2025",112314243,169874
"Oct 25, 2025",112479311,165068
"Oct 26, 2025",112660939,181628
"Oct 27, 2025",112854168,193229
"Oct 28, 2025",112996197,142029
"Oct 29, 2025",113141110,144913
"Oct 30, 2025",113291717,150607
"Oct 31, 2025",113444531,152814
"Nov 1, 2025",113593395,148864
"Nov 2, 2025",113754371,160976
"Nov 3, 2025",113900573,146202
