Date,Likes,Change
"Mar 11, 2019",449363,0
"Mar 12, 2019",450857,1494
"Mar 13, 2019",452238,1381
"Mar 14, 2019",453710,1472
"Mar 15, 2019",455257,1547
"Mar 16, 2019",457003,1746
"Mar 17, 2019",458597,1594
"Mar 18, 2019",460131,1534
"Mar 19, 2019",461813,1682
"Mar 20, 2019",463661,1848
"Mar 21, 2019",465396,1735
"Mar 22, 2019",467197,1801
"Mar 23, 2019",469134,1937
"Mar 24, 2019",470820,1686
"Mar 25, 2019",472305,1485
"Mar 26, 2019",473771,1466
"Mar 27, 2019",475222,1451
"Mar 28, 2019",476700,1478
"Mar 29, 2019",478359,1659
"Mar 30, 2019",480104,1745
"Mar 31, 2019",481573,1469
"Apr 1, 2019",483007,1434
"Apr 2, 2019",484323,1316
"Apr 3, 2019",485653,1330
"Apr 4, 2019",487032,1379
"Apr 5, 2019",488560,1528
"Apr 6, 2019",490052,1492
"Apr 7, 2019",491499,1447
"Apr 8, 2019",492762,1263
"Apr 9, 2019",494027,1265
"Apr 10, 2019",495386,1359
"Apr 11, 2019",496674,1288
"Apr 12, 2019",497969,1295
"Apr 13, 2019",499570,1601
"Apr 14, 2019",501031,1461
"Apr 15, 2019",502447,1416
"Apr 16, 2019",503876,1429
"Apr 17, 2019",505430,1554
"Apr 18, 2019",507022,1592
"Apr 19, 2019",508477,1455
"Apr 20, 2019",509994,1517
"Apr 21, 2019",511333,1339
"Apr 22, 2019",512606,1273
"Apr 23, 2019",513951,1345
"Apr 24, 2019",515153,1202
"Apr 25, 2019",516282,1129
"Apr 26, 2019",517391,1109
"Apr 27, 2019",518581,1190
"Apr 28, 2019",519625,1044
"Apr 29, 2019",520632,1007
"Apr 30, 2019",521743,1111
"May 1, 2019",522848,1105
"May 2, 2019",523909,1061
"May 3, 2019",524948,1039
"May 4, 2019",526131,1183
"May 5, 2019",527370,1239
"May 6, 2019",528599,1229
"May 7, 2019",529491,892
"May 8, 2019",530287,796
"May 9, 2019",531134,847
"May 10, 2019",531924,790
"May 11, 2019",532815,891
"May 12, 2019",533551,736
"May 13, 2019",534369,818
"May 14, 2019",535370,1001
"May 15, 2019",536488,1118
"May 16, 2019",537820,1332
"May 17, 2019",539170,1350
"May 18, 2019",540768,1598
"May 19, 2019",542483,1715
"May 20, 2019",544043,1560
"May 21, 2019",545339,1296
"May 22, 2019",546440,1101
"May 23, 2019",547498,1058
"May 24, 2019",548532,1034
"May 25, 2019",549560,1028
"May 26, 2019",550488,928
"May 27, 2019",551367,879
"May 28, 2019",552384,1017
"May 29, 2019",552384,0
"May 30, 2019",554278,1894
"May 31, 2019",554278,0
"Jun 1, 2019",554278,0
"Jun 2, 2019",554278,0
"Jun 3, 2019",559334,5056
"Jun 4, 2019",560682,1348
"Jun 5, 2019",562064,1382
"Jun 6, 2019",563285,1221
"Jun 7, 2019",563285,0
"Jun 8, 2019",563285,0
"Jun 9, 2019",563285,0
"Jun 10, 2019",563288,3
"Jun 11, 2019",563291,3
"Jun 12, 2019",563294,3
"Jun 13, 2019",564957,1663
"Jun 14, 2019",566025,1068
"Jun 15, 2019",567094,1069
"Jun 16, 2019",568162,1068
"Jun 17, 2019",569112,950
"Jun 18, 2019",570061,949
"Jun 19, 2019",571011,950
"Jun 20, 2019",571960,949
"Jun 21, 2019",573082,1122
"Jun 22, 2019",574204,1122
"Jun 23, 2019",575326,1122
"Jun 24, 2019",576354,1028
"Jun 25, 2019",576510,156
"Jun 26, 2019",577444,934
"Jun 27, 2019",578288,844
"Jun 28, 2019",579143,855
"Jun 29, 2019",580110,967
"Jun 30, 2019",580842,732
"Jul 1, 2019",581585,743
"Jul 2, 2019",582361,776
"Jul 3, 2019",583053,692
"Jul 4, 2019",583781,728
"Jul 5, 2019",584557,776
"Jul 6, 2019",585355,798
"Jul 7, 2019",586189,834
"Jul 8, 2019",586897,708
"Jul 9, 2019",587529,632
"Jul 10, 2019",588133,604
"Jul 11, 2019",588772,639
"Jul 12, 2019",589446,674
"Jul 13, 2019",590219,773
"Jul 14, 2019",590951,732
"Jul 15, 2019",591855,904
"Jul 16, 2019",592705,850
"Jul 17, 2019",593506,801
"Jul 18, 2019",594174,668
"Jul 19, 2019",594909,735
"Jul 20, 2019",595745,836
"Jul 21, 2019",596574,829
"Jul 22, 2019",597333,759
"Jul 23, 2019",598091,758
