Date,Likes,Change
"Sep 18, 2022",228049,0
"Sep 19, 2022",357404,129355
"Sep 20, 2022",375383,17979
"Sep 21, 2022",391429,16046
"Sep 22, 2022",409849,18420
"Sep 23, 2022",425515,15666
"Sep 24, 2022",446027,20512
"Sep 25, 2022",471841,25814
"Sep 26, 2022",491449,19608
"Sep 27, 2022",506743,15294
"Sep 28, 2022",520942,14199
"Sep 29, 2022",533492,12550
"Sep 30, 2022",543202,9710
"Oct 1, 2022",554484,11282
"Oct 2, 2022",564971,10487
"Oct 3, 2022",574529,9558
"Oct 4, 2022",582694,8165
"Oct 5, 2022",589707,7013
"Oct 6, 2022",596330,6623
"Oct 7, 2022",602482,6152
"Oct 8, 2022",608912,6430
"Oct 9, 2022",617656,8744
"Oct 10, 2022",624183,6527
"Oct 11, 2022",629732,5549
"Oct 12, 2022",634564,4832
"Oct 13, 2022",638812,4248
"Oct 14, 2022",642504,3692
"Oct 15, 2022",646377,3873
"Oct 16, 2022",650349,3972
"Oct 17, 2022",653396,3047
"Oct 18, 2022",656483,3087
"Oct 19, 2022",659643,3160
"Oct 20, 2022",662758,3115
"Oct 21, 2022",665695,2937
"Oct 22, 2022",668473,2778
"Oct 23, 2022",671027,2554
"Oct 24, 2022",673360,2333
"Oct 25, 2022",675506,2146
"Oct 26, 2022",677589,2083
"Oct 27, 2022",679570,1981
"Oct 28, 2022",681483,1913
"Oct 29, 2022",683494,2011
"Oct 30, 2022",685231,1737
"Oct 31, 2022",686763,1532
"Nov 1, 2022",688129,1366
"Nov 2, 2022",689517,1388
"Nov 3, 2022",690839,1322
"Nov 4, 2022",692884,2045
"Nov 5, 2022",694928,2044
"Nov 6, 2022",694985,57
"Nov 7, 2022",696343,1358
"Nov 8, 2022",697854,1511
"Nov 9, 2022",699150,1296
"Nov 10, 2022",700402,1252
"Nov 11, 2022",701673,1271
"Nov 12, 2022",702900,1227
"Nov 13, 2022",704392,1492
"Nov 14, 2022",705577,1185
"Nov 15, 2022",706671,1094
"Nov 16, 2022",707639,968
"Nov 17, 2022",708695,1056
"Nov 18, 2022",709672,977
"Nov 19, 2022",710736,1064
"Nov 20, 2022",711950,1214
"Nov 21, 2022",712844,894
"Nov 22, 2022",713765,921
"Nov 23, 2022",714704,939
"Nov 24, 2022",715705,1001
"Nov 25, 2022",716701,996
"Nov 26, 2022",717728,1027
"Nov 27, 2022",718851,1123
"Nov 28, 2022",719731,880
"Nov 29, 2022",720745,1014
"Nov 30, 2022",721662,917
"Dec 1, 2022",722509,847
"Dec 2, 2022",723295,786
"Dec 3, 2022",724061,766
"Dec 4, 2022",724874,813
"Dec 5, 2022",725727,853
"Dec 6, 2022",726434,707
"Dec 7, 2022",727173,739
"Dec 8, 2022",727792,619
"Dec 9, 2022",728484,692
"Dec 10, 2022",729149,665
"Dec 11, 2022",729940,791
"Dec 12, 2022",730575,635
"Dec 13, 2022",731181,606
"Dec 14, 2022",731785,604
"Dec 15, 2022",732455,670
"Dec 16, 2022",733026,571
"Dec 17, 2022",733562,536
"Dec 18, 2022",734118,556
"Dec 19, 2022",734591,473
"Dec 20, 2022",735119,528
"Dec 21, 2022",735659,540
"Dec 22, 2022",736231,572
"Dec 23, 2022",736755,524
"Dec 24, 2022",737371,616
"Dec 25, 2022",738112,741
"Dec 26, 2022",738702,590
"Dec 27, 2022",739210,508
"Dec 28, 2022",739801,591
"Dec 29, 2022",740296,495
"Dec 30, 2022",740793,497
"Dec 31, 2022",741460,667
"Jan 1, 2023",742084,624
"Jan 2, 2023",742591,507
"Jan 3, 2023",743059,468
"Jan 4, 2023",743491,432
"Jan 5, 2023",743897,406
"Jan 6, 2023",744260,363
"Jan 7, 2023",744710,450
"Jan 8, 2023",745176,466
"Jan 9, 2023",745611,435
"Jan 10, 2023",746047,436
"Jan 11, 2023",746438,391
"Jan 12, 2023",746880,442
"Jan 13, 2023",747358,478
"Jan 14, 2023",747877,519
"Jan 15, 2023",748351,474
"Jan 16, 2023",748676,325
"Jan 17, 2023",749032,356
"Jan 18, 2023",749379,347
"Jan 19, 2023",749666,287
"Jan 20, 2023",749941,275
"Jan 21, 2023",750251,310
"Jan 22, 2023",750630,379
"Jan 23, 2023",750994,364
"Jan 24, 2023",751330,336
"Jan 25, 2023",751631,301
"Jan 26, 2023",751982,351
"Jan 27, 2023",752301,319
"Jan 28, 2023",752642,341
"Jan 29, 2023",752954,312
"Jan 30, 2023",753247,293
"Jan 31, 2023",753519,272
"Feb 1, 2023",753877,358
"Feb 2, 2023",754171,294
"Feb 3, 2023",754428,257
"Feb 4, 2023",754695,267
"Feb 5, 2023",754985,290
"Feb 6, 2023",755229,244
"Feb 7, 2023",755479,250
"Feb 8, 2023",755675,196
"Feb 9, 2023",755902,227
"Feb 10, 2023",756135,233
"Feb 11, 2023",756373,238
"Feb 12, 2023",756612,239
"Feb 13, 2023",756836,224
"Feb 14, 2023",757037,201
"Feb 15, 2023",757236,199
"Feb 16, 2023",757426,190
"Feb 17, 2023",757673,247
"Feb 18, 2023",757980,307
"Feb 19, 2023",758090,110
"Feb 20, 2023",758282,192
"Feb 21, 2023",758466,184
"Feb 22, 2023",758623,157
"Feb 23, 2023",758776,153
"Feb 24, 2023",758938,162
"Feb 25, 2023",759126,188
"Feb 26, 2023",759296,170
"Feb 27, 2023",759455,159
"Feb 28, 2023",759588,133
"Mar 1, 2023",759725,137
"Mar 2, 2023",759859,134
"Mar 3, 2023",760006,147
"Mar 4, 2023",760152,146
"Mar 5, 2023",760318,166
"Mar 6, 2023",760421,103
"Mar 7, 2023",760518,97
"Mar 8, 2023",760645,127
"Mar 9, 2023",760756,111
"Mar 10, 2023",760884,128
"Mar 11, 2023",761013,129
