Date,Likes,Change
"Jul 27, 2022",722,0
"Jul 28, 2022",905,183
"Jul 29, 2022",1018,113
"Jul 30, 2022",1124,106
"Jul 31, 2022",1172,48
"Aug 1, 2022",1226,54
"Aug 2, 2022",1264,38
"Aug 3, 2022",1303,39
"Aug 4, 2022",1340,37
"Aug 5, 2022",1377,37
"Aug 6, 2022",1423,46
"Aug 7, 2022",1453,30
"Aug 8, 2022",1486,33
"Aug 9, 2022",1506,20
"Aug 10, 2022",1533,27
"Aug 11, 2022",1579,46
"Aug 12, 2022",1642,63
"Aug 13, 2022",1707,65
"Aug 14, 2022",1761,54
"Aug 15, 2022",1800,39
"Aug 16, 2022",1849,49
"Aug 17, 2022",1903,54
"Aug 18, 2022",1955,52
"Aug 19, 2022",2003,48
"Aug 20, 2022",2068,65
"Aug 21, 2022",2130,62
"Aug 22, 2022",2173,43
"Aug 23, 2022",2218,45
"Aug 24, 2022",2266,48
"Aug 25, 2022",2304,38
"Aug 26, 2022",2365,61
"Aug 27, 2022",2434,69
"Aug 28, 2022",2481,47
"Aug 29, 2022",2519,38
"Aug 30, 2022",2567,48
"Aug 31, 2022",2617,50
"Sep 1, 2022",2674,57
"Sep 2, 2022",2742,68
"Sep 3, 2022",2823,81
"Sep 4, 2022",2886,63
"Sep 5, 2022",2946,60
"Sep 6, 2022",3045,99
"Sep 7, 2022",3164,119
"Sep 8, 2022",3340,176
"Sep 9, 2022",3461,121
"Sep 10, 2022",3598,137
"Sep 11, 2022",3698,100
"Sep 12, 2022",3755,57
"Sep 13, 2022",3815,60
"Sep 14, 2022",3872,57
"Sep 15, 2022",3926,54
"Sep 16, 2022",3990,64
"Sep 17, 2022",4067,77
"Sep 18, 2022",4130,63
"Sep 19, 2022",4171,41
"Sep 20, 2022",4238,67
"Sep 21, 2022",4262,24
"Sep 22, 2022",4313,51
"Sep 23, 2022",4350,37
"Sep 24, 2022",4394,44
"Sep 25, 2022",4426,32
"Sep 26, 2022",4442,16
"Sep 27, 2022",4472,30
"Sep 28, 2022",4495,23
"Sep 29, 2022",4518,23
"Sep 30, 2022",4538,20
"Oct 1, 2022",4584,46
"Oct 2, 2022",4622,38
"Oct 3, 2022",4649,27
"Oct 4, 2022",4696,47
"Oct 5, 2022",4724,28
"Oct 6, 2022",4742,18
"Oct 7, 2022",4767,25
"Oct 8, 2022",4789,22
"Oct 9, 2022",4821,32
"Oct 10, 2022",4845,24
"Oct 11, 2022",4861,16
"Oct 12, 2022",4878,17
"Oct 13, 2022",4893,15
"Oct 14, 2022",4919,26
"Oct 15, 2022",4944,25
"Oct 16, 2022",4960,16
"Oct 17, 2022",4972,12
"Oct 18, 2022",4987,15
"Oct 19, 2022",5000,13
"Oct 20, 2022",5017,17
"Oct 21, 2022",5027,10
"Oct 22, 2022",5050,23
"Oct 23, 2022",5072,22
"Oct 24, 2022",5084,12
"Oct 25, 2022",5098,14
"Oct 26, 2022",5109,11
"Oct 27, 2022",5124,15
"Oct 28, 2022",5147,23
"Oct 29, 2022",5159,12
"Oct 30, 2022",5174,15
"Oct 31, 2022",5188,14
"Nov 1, 2022",5201,13
"Nov 2, 2022",5211,10
"Nov 3, 2022",5225,14
"Nov 4, 2022",5242,17
"Nov 5, 2022",5260,18
"Nov 6, 2022",5277,17
"Nov 7, 2022",5288,11
"Nov 8, 2022",5302,14
"Nov 9, 2022",5313,11
"Nov 10, 2022",5326,13
"Nov 11, 2022",5341,15
"Nov 12, 2022",5352,11
"Nov 13, 2022",5371,19
"Nov 14, 2022",5384,13
"Nov 15, 2022",5399,15
"Nov 16, 2022",5410,11
"Nov 17, 2022",5419,9
"Nov 18, 2022",5425,6
"Nov 19, 2022",5434,9
"Nov 20, 2022",5445,11
"Nov 21, 2022",5453,8
"Nov 22, 2022",5458,5
"Nov 23, 2022",5469,11
"Nov 24, 2022",5476,7
"Nov 25, 2022",5483,7
"Nov 26, 2022",5493,10
"Nov 27, 2022",5508,15
"Nov 28, 2022",5515,7
"Nov 29, 2022",5527,12
"Nov 30, 2022",5536,9
"Dec 1, 2022",5544,8
"Dec 2, 2022",5554,10
"Dec 3, 2022",5565,11
"Dec 4, 2022",5573,8
"Dec 5, 2022",5582,9
"Dec 6, 2022",5595,13
"Dec 7, 2022",5604,9
"Dec 8, 2022",5614,10
"Dec 9, 2022",5624,10
"Dec 10, 2022",5630,6
"Dec 11, 2022",5636,6
"Dec 12, 2022",5642,6
"Dec 13, 2022",5653,11
"Dec 14, 2022",5665,12
"Dec 15, 2022",5669,4
"Dec 16, 2022",5678,9
"Dec 17, 2022",5691,13
"Dec 18, 2022",5705,14
"Dec 19, 2022",5710,5
"Dec 20, 2022",5715,5
"Dec 21, 2022",5720,5
"Dec 22, 2022",5726,6
"Dec 23, 2022",5737,11
"Dec 24, 2022",5755,18
"Dec 25, 2022",5771,16
"Dec 26, 2022",5784,13
"Dec 27, 2022",5793,9
"Dec 28, 2022",5812,19
"Dec 29, 2022",5827,15
"Dec 30, 2022",5839,12
"Dec 31, 2022",5858,19
"Jan 1, 2023",5872,14
"Jan 2, 2023",5883,11
"Jan 3, 2023",5892,9
"Jan 4, 2023",5902,10
"Jan 5, 2023",5909,7
"Jan 6, 2023",5918,9
"Jan 7, 2023",5933,15
"Jan 8, 2023",5942,9
"Jan 9, 2023",5952,10
"Jan 10, 2023",5959,7
"Jan 11, 2023",5965,6
"Jan 12, 2023",5972,7
"Jan 13, 2023",5980,8
"Jan 14, 2023",5988,8
"Jan 15, 2023",5995,7
"Jan 16, 2023",6005,10
"Jan 17, 2023",6013,8
"Jan 18, 2023",6018,5
"Jan 19, 2023",6024,6
"Jan 20, 2023",6037,13
"Jan 21, 2023",6054,17
"Jan 22, 2023",6066,12
"Jan 23, 2023",6071,5
"Jan 24, 2023",6081,10
"Jan 25, 2023",6088,7
"Jan 26, 2023",6100,12
"Jan 27, 2023",6105,5
"Jan 28, 2023",6113,8
"Jan 29, 2023",6121,8
"Jan 30, 2023",6127,6
"Jan 31, 2023",6128,1
"Feb 1, 2023",6132,4
"Feb 2, 2023",6142,10
"Feb 3, 2023",6149,7
"Feb 4, 2023",6151,2
"Feb 5, 2023",6157,6
"Feb 6, 2023",6166,9
"Feb 7, 2023",6170,4
"Feb 8, 2023",6178,8
"Feb 9, 2023",6183,5
"Feb 10, 2023",6189,6
"Feb 11, 2023",6199,10
"Feb 12, 2023",6204,5
"Feb 13, 2023",6208,4
"Feb 14, 2023",6212,4
"Feb 15, 2023",6213,1
"Feb 16, 2023",6221,8
"Feb 17, 2023",6230,9
"Feb 18, 2023",6241,11
"Feb 19, 2023",6247,6
"Feb 20, 2023",6253,6
"Feb 21, 2023",6257,4
"Feb 22, 2023",6260,3
"Feb 23, 2023",6262,2
"Feb 24, 2023",6263,1
"Feb 25, 2023",6266,3
"Feb 26, 2023",6271,5
"Feb 27, 2023",6278,7
"Feb 28, 2023",6281,3
"Mar 1, 2023",6285,4
"Mar 2, 2023",6288,3
"Mar 3, 2023",6291,3
"Mar 4, 2023",6293,2
"Mar 5, 2023",6303,10
"Mar 6, 2023",6306,3
"Mar 7, 2023",6315,9
"Mar 8, 2023",6320,5
"Mar 9, 2023",6322,2
"Mar 10, 2023",6330,8
"Mar 11, 2023",6339,9
"Mar 12, 2023",6343,4
"Mar 13, 2023",6354,11
"Mar 14, 2023",6357,3
"Mar 15, 2023",6368,11
"Mar 16, 2023",6373,5
"Mar 17, 2023",6386,13
"Mar 18, 2023",6389,3
"Mar 19, 2023",6400,11
"Mar 20, 2023",6404,4
"Mar 21, 2023",6407,3
"Mar 22, 2023",6412,5
"Mar 23, 2023",6414,2
"Mar 24, 2023",6418,4
"Mar 25, 2023",6418,0
"Mar 26, 2023",6425,7
"Mar 27, 2023",6427,2
"Mar 28, 2023",6430,3
"Mar 29, 2023",6435,5
"Mar 30, 2023",6439,4
"Mar 31, 2023",6446,7
"Apr 1, 2023",6450,4
"Apr 2, 2023",6455,5
"Apr 3, 2023",6462,7
"Apr 4, 2023",6467,5
"Apr 5, 2023",6472,5
"Apr 6, 2023",6474,2
"Apr 7, 2023",6479,5
"Apr 8, 2023",6486,7
"Apr 9, 2023",6493,7
"Apr 10, 2023",6499,6
"Apr 11, 2023",6509,10
"Apr 12, 2023",6515,6
"Apr 13, 2023",6527,12
"Apr 14, 2023",6539,12
"Apr 15, 2023",6544,5
"Apr 16, 2023",6549,5
"Apr 17, 2023",6557,8
"Apr 18, 2023",6561,4
"Apr 19, 2023",6573,12
"Apr 20, 2023",6582,9
"Apr 21, 2023",6591,9
"Apr 22, 2023",6595,4
"Apr 23, 2023",6603,8
"Apr 24, 2023",6611,8
"Apr 25, 2023",6617,6
"Apr 26, 2023",6623,6
"Apr 27, 2023",6634,11
"Apr 28, 2023",6644,10
"Apr 29, 2023",6649,5
"Apr 30, 2023",6659,10
"May 1, 2023",6663,4
"May 2, 2023",6668,5
"May 3, 2023",6673,5
"May 4, 2023",6684,11
"May 5, 2023",6691,7
"May 6, 2023",6698,7
"May 7, 2023",6707,9
"May 8, 2023",6712,5
"May 9, 2023",6720,8
"May 10, 2023",6723,3
"May 11, 2023",6728,5
"May 12, 2023",6735,7
"May 13, 2023",6743,8
"May 14, 2023",6753,10
"May 15, 2023",6761,8
"May 16, 2023",6766,5
"May 17, 2023",6769,3
"May 18, 2023",6774,5
"May 19, 2023",6775,1
"May 20, 2023",6784,9
"May 21, 2023",6790,6
"May 22, 2023",6796,6
"May 23, 2023",6798,2
"May 24, 2023",6807,9
"May 25, 2023",6809,2
"May 26, 2023",6815,6
"May 27, 2023",6820,5
"May 28, 2023",6825,5
"May 29, 2023",6829,4
"May 30, 2023",6834,5
"May 31, 2023",6842,8
"Jun 1, 2023",6850,8
"Jun 2, 2023",6857,7
"Jun 3, 2023",6859,2
"Jun 4, 2023",6868,9
"Jun 5, 2023",6874,6
"Jun 6, 2023",6879,5
"Jun 7, 2023",6883,4
"Jun 8, 2023",6895,12
"Jun 9, 2023",6911,16
"Jun 10, 2023",6921,10
"Jun 11, 2023",6924,3
"Jun 12, 2023",6929,5
"Jun 13, 2023",6932,3
"Jun 14, 2023",6938,6
"Jun 15, 2023",6941,3
"Jun 16, 2023",6950,9
"Jun 17, 2023",6953,3
"Jun 18, 2023",6953,0
"Jun 19, 2023",6956,3
"Jun 20, 2023",6963,7
"Jun 21, 2023",6964,1
"Jun 22, 2023",6966,2
"Jun 23, 2023",6970,4
"Jun 24, 2023",6972,2
"Jun 25, 2023",6977,5
"Jun 26, 2023",6978,1
"Jun 27, 2023",6983,5
"Jun 28, 2023",6985,2
"Jun 29, 2023",6989,4
"Jun 30, 2023",6990,1
"Jul 1, 2023",6996,6
"Jul 2, 2023",7006,10
"Jul 3, 2023",7009,3
"Jul 4, 2023",7018,9
"Jul 5, 2023",7022,4
"Jul 6, 2023",7026,4
"Jul 7, 2023",7033,7
"Jul 8, 2023",7040,7
"Jul 9, 2023",7046,6
"Jul 10, 2023",7052,6
"Jul 11, 2023",7053,1
"Jul 12, 2023",7059,6
"Jul 13, 2023",7066,7
"Jul 14, 2023",7068,2
"Jul 15, 2023",7074,6
"Jul 16, 2023",7076,2
"Jul 17, 2023",7075,-1
"Jul 18, 2023",7086,11
"Jul 19, 2023",7087,1
"Jul 20, 2023",7087,0
"Jul 21, 2023",7098,11
"Jul 22, 2023",7108,10
"Jul 23, 2023",7110,2
"Jul 24, 2023",7114,4
"Jul 25, 2023",7123,9
"Jul 26, 2023",7130,7
"Jul 27, 2023",7132,2
"Jul 28, 2023",7139,7
"Jul 29, 2023",7153,14
"Jul 30, 2023",7159,6
"Jul 31, 2023",7165,6
"Aug 1, 2023",7176,11
"Aug 2, 2023",7181,5
"Aug 3, 2023",7190,9
"Aug 4, 2023",7190,0
"Aug 5, 2023",7196,6
"Aug 6, 2023",7198,2
"Aug 7, 2023",7200,2
"Aug 8, 2023",7203,3
"Aug 9, 2023",7204,1
"Aug 10, 2023",7207,3
"Aug 11, 2023",7212,5
"Aug 12, 2023",7218,6
"Aug 13, 2023",7220,2
"Aug 14, 2023",7222,2
"Aug 15, 2023",7225,3
"Aug 16, 2023",7226,1
"Aug 17, 2023",7227,1
"Aug 18, 2023",7236,9
"Aug 19, 2023",7244,8
"Aug 20, 2023",7247,3
"Aug 21, 2023",7250,3
"Aug 22, 2023",7253,3
"Aug 23, 2023",7255,2
"Aug 24, 2023",7264,9
"Aug 25, 2023",7272,8
"Aug 26, 2023",7277,5
"Aug 27, 2023",7282,5
"Aug 28, 2023",7291,9
"Aug 29, 2023",7299,8
"Aug 30, 2023",7302,3
"Aug 31, 2023",7304,2
"Sep 1, 2023",7308,4
"Sep 2, 2023",7311,3
"Sep 3, 2023",7313,2
"Sep 4, 2023",7315,2
"Sep 5, 2023",7320,5
"Sep 6, 2023",7325,5
"Sep 7, 2023",7330,5
"Sep 8, 2023",7335,5
"Sep 9, 2023",7339,4
"Sep 10, 2023",7343,4
"Sep 11, 2023",7347,4
"Sep 12, 2023",7351,4
"Sep 13, 2023",7353,2
"Sep 14, 2023",7355,2
"Sep 15, 2023",7360,5
"Sep 16, 2023",7364,4
"Sep 17, 2023",7369,5
"Sep 18, 2023",7374,5
"Sep 19, 2023",7375,1
"Sep 20, 2023",7376,1
"Sep 21, 2023",7381,5
"Sep 22, 2023",7386,5
"Sep 23, 2023",7389,3
"Sep 24, 2023",7392,3
"Sep 25, 2023",7395,3
"Sep 26, 2023",7397,2
"Sep 27, 2023",7400,3
"Sep 28, 2023",7402,2
"Sep 29, 2023",7406,4
"Sep 30, 2023",7410,4
"Oct 1, 2023",7412,2
"Oct 2, 2023",7414,2
"Oct 3, 2023",7418,4
"Oct 4, 2023",7422,4
"Oct 5, 2023",7425,3
"Oct 6, 2023",7427,2
"Oct 7, 2023",7431,4
"Oct 8, 2023",7435,4
"Oct 9, 2023",7437,2
"Oct 10, 2023",7439,2
"Oct 11, 2023",7442,3
"Oct 12, 2023",7445,3
"Oct 13, 2023",7448,3
"Oct 14, 2023",7451,3
"Oct 15, 2023",7456,5
"Oct 16, 2023",7461,5
"Oct 17, 2023",7465,4
"Oct 18, 2023",7469,4
"Oct 19, 2023",7471,2
"Oct 20, 2023",7472,1
"Oct 21, 2023",7474,2
"Oct 22, 2023",7476,2
"Oct 23, 2023",7481,5
"Oct 24, 2023",7485,4
"Oct 25, 2023",7489,4
"Oct 26, 2023",7493,4
"Oct 27, 2023",7496,3
"Oct 28, 2023",7499,3
"Oct 29, 2023",7502,3
"Oct 30, 2023",7504,2
"Oct 31, 2023",7507,3
"Nov 1, 2023",7509,2
"Nov 2, 2023",7513,4
"Nov 3, 2023",7516,3
"Nov 4, 2023",7519,3
"Nov 5, 2023",7522,3
"Nov 6, 2023",7528,6
"Nov 7, 2023",7533,5
"Nov 8, 2023",7534,1
"Nov 9, 2023",7535,1
"Nov 10, 2023",7537,2
"Nov 11, 2023",7539,2
"Nov 12, 2023",7540,1
"Nov 13, 2023",7540,0
"Nov 14, 2023",7543,3
"Nov 15, 2023",7546,3
"Nov 16, 2023",7548,2
"Nov 17, 2023",7550,2
"Nov 18, 2023",7554,4
"Nov 19, 2023",7557,3
"Nov 20, 2023",7559,2
"Nov 21, 2023",7560,1
"Nov 22, 2023",7563,3
"Nov 23, 2023",7565,2
"Nov 24, 2023",7568,3
"Nov 25, 2023",7570,2
"Nov 26, 2023",7571,1
"Nov 27, 2023",7571,0
"Nov 28, 2023",7573,2
"Nov 29, 2023",7575,2
"Nov 30, 2023",7577,2
"Dec 1, 2023",7579,2
"Dec 2, 2023",7580,1
"Dec 3, 2023",7581,1
"Dec 4, 2023",7584,3
"Dec 5, 2023",7587,3
"Dec 6, 2023",7588,1
"Dec 7, 2023",7589,1
"Dec 8, 2023",7592,3
"Dec 9, 2023",7594,2
"Dec 10, 2023",7597,3
"Dec 11, 2023",7599,2
"Dec 12, 2023",7602,3
"Dec 13, 2023",7605,3
"Dec 14, 2023",7609,4
"Dec 15, 2023",7613,4
"Dec 16, 2023",7615,2
"Dec 17, 2023",7617,2
"Dec 18, 2023",7619,2
"Dec 19, 2023",7621,2
"Dec 20, 2023",7627,6
"Dec 21, 2023",7632,5
"Dec 22, 2023",7635,3
"Dec 23, 2023",7638,3
"Dec 24, 2023",7643,5
"Dec 25, 2023",7647,4
"Dec 26, 2023",7652,5
"Dec 27, 2023",7657,5
"Dec 28, 2023",7658,1
"Dec 29, 2023",7659,1
"Dec 30, 2023",7663,4
"Dec 31, 2023",7666,3
"Jan 1, 2024",7667,1
"Jan 2, 2024",7667,0
"Jan 3, 2024",7671,4
"Jan 4, 2024",7674,3
"Jan 5, 2024",7676,2
"Jan 6, 2024",7677,1
"Jan 7, 2024",7682,5
"Jan 8, 2024",7687,5
"Jan 9, 2024",7689,2
"Jan 10, 2024",7691,2
"Jan 11, 2024",7693,2
"Jan 12, 2024",7694,1
"Jan 13, 2024",7697,3
"Jan 14, 2024",7700,3
"Jan 15, 2024",7704,4
"Jan 16, 2024",7707,3
"Jan 17, 2024",7710,3
"Jan 18, 2024",7713,3
"Jan 19, 2024",7716,3
"Jan 20, 2024",7718,2
"Jan 21, 2024",7720,2
"Jan 22, 2024",7721,1
"Jan 23, 2024",7723,2
"Jan 24, 2024",7725,2
"Jan 25, 2024",7728,3
"Jan 26, 2024",7730,2
"Jan 27, 2024",7737,7
"Jan 28, 2024",7743,6
"Jan 29, 2024",7745,2
"Jan 30, 2024",7746,1
"Jan 31, 2024",7750,4
"Feb 1, 2024",7753,3
"Feb 2, 2024",7754,1
"Feb 3, 2024",7754,0
"Feb 4, 2024",7758,4
"Feb 5, 2024",7761,3
"Feb 6, 2024",7763,2
"Feb 7, 2024",7765,2
"Feb 8, 2024",7769,4
"Feb 9, 2024",7773,4
"Feb 10, 2024",7777,4
"Feb 11, 2024",7780,3
"Feb 12, 2024",7783,3
"Feb 13, 2024",7785,2
"Feb 14, 2024",7788,3
"Feb 15, 2024",7790,2
"Feb 16, 2024",7790,0
"Feb 17, 2024",7790,0
"Feb 18, 2024",7795,5
"Feb 19, 2024",7800,5
"Feb 20, 2024",7801,1
"Feb 21, 2024",7802,1
"Feb 22, 2024",7805,3
"Feb 23, 2024",7808,3
"Feb 24, 2024",7811,3
"Feb 25, 2024",7814,3
"Feb 26, 2024",7816,2
"Feb 27, 2024",7817,1
"Feb 28, 2024",7821,4
"Feb 29, 2024",7824,3
"Mar 1, 2024",7826,2
"Mar 2, 2024",7828,2
"Mar 3, 2024",7830,2
"Mar 4, 2024",7832,2
"Mar 5, 2024",7836,4
"Mar 6, 2024",7839,3
"Mar 7, 2024",7842,3
"Mar 8, 2024",7844,2
"Mar 9, 2024",7846,2
"Mar 10, 2024",7848,2
"Mar 11, 2024",7851,3
"Mar 12, 2024",7853,2
"Mar 13, 2024",7856,3
"Mar 14, 2024",7858,2
"Mar 15, 2024",7859,1
"Mar 16, 2024",7860,1
"Mar 17, 2024",7860,0
"Mar 18, 2024",7860,0
"Mar 19, 2024",7863,3
"Mar 20, 2024",7865,2
"Mar 21, 2024",7868,3
"Mar 22, 2024",7870,2
"Mar 23, 2024",7871,1
"Mar 24, 2024",7871,0
"Mar 25, 2024",7873,2
"Mar 26, 2024",7874,1
"Mar 27, 2024",7877,3
"Mar 28, 2024",7879,2
"Mar 29, 2024",7884,5
"Mar 30, 2024",7889,5
"Mar 31, 2024",7893,4
"Apr 1, 2024",7897,4
"Apr 2, 2024",7898,1
"Apr 3, 2024",7899,1
"Apr 4, 2024",7900,1
"Apr 5, 2024",7900,0
"Apr 6, 2024",7903,3
"Apr 7, 2024",7905,2
"Apr 8, 2024",7907,2
"Apr 9, 2024",7909,2
"Apr 10, 2024",7912,3
"Apr 11, 2024",7915,3
"Apr 12, 2024",7918,3
