Date,Likes,Change
"Mar 24, 2023",7422,0
"Mar 25, 2023",7426,4
"Mar 26, 2023",7448,22
"Mar 27, 2023",7468,20
"Mar 28, 2023",7486,18
"Mar 29, 2023",7505,19
"Mar 30, 2023",7529,24
"Mar 31, 2023",7550,21
"Apr 1, 2023",7560,10
"Apr 2, 2023",7573,13
"Apr 3, 2023",7591,18
"Apr 4, 2023",7601,10
"Apr 5, 2023",7612,11
"Apr 6, 2023",7630,18
"Apr 7, 2023",7646,16
"Apr 8, 2023",7656,10
"Apr 9, 2023",7665,9
"Apr 10, 2023",7676,11
"Apr 11, 2023",7688,12
"Apr 12, 2023",7700,12
"Apr 13, 2023",7708,8
"Apr 14, 2023",7721,13
"Apr 15, 2023",7729,8
"Apr 16, 2023",7739,10
"Apr 17, 2023",7747,8
"Apr 18, 2023",7759,12
"Apr 19, 2023",7772,13
"Apr 20, 2023",7780,8
"Apr 21, 2023",7795,15
"Apr 22, 2023",7811,16
"Apr 23, 2023",7823,12
"Apr 24, 2023",7832,9
"Apr 25, 2023",7850,18
"Apr 26, 2023",7861,11
"Apr 27, 2023",7879,18
"Apr 28, 2023",7892,13
"Apr 29, 2023",7908,16
"Apr 30, 2023",7925,17
"May 1, 2023",7940,15
"May 2, 2023",7954,14
"May 3, 2023",7968,14
"May 4, 2023",7990,22
"May 5, 2023",8003,13
"May 6, 2023",8016,13
"May 7, 2023",8025,9
"May 8, 2023",8042,17
"May 9, 2023",8058,16
"May 10, 2023",8067,9
"May 11, 2023",8086,19
"May 12, 2023",8103,17
"May 13, 2023",8126,23
"May 14, 2023",8138,12
"May 15, 2023",8150,12
"May 16, 2023",8167,17
"May 17, 2023",8184,17
"May 18, 2023",8193,9
"May 19, 2023",8210,17
"May 20, 2023",8224,14
"May 21, 2023",8237,13
"May 22, 2023",8254,17
"May 23, 2023",8257,3
"May 24, 2023",8266,9
"May 25, 2023",8279,13
"May 26, 2023",8303,24
"May 27, 2023",8320,17
"May 28, 2023",8333,13
"May 29, 2023",8345,12
"May 30, 2023",8358,13
"May 31, 2023",8368,10
"Jun 1, 2023",8379,11
"Jun 2, 2023",8397,18
"Jun 3, 2023",8420,23
"Jun 4, 2023",8436,16
"Jun 5, 2023",8451,15
"Jun 6, 2023",8458,7
"Jun 7, 2023",8459,1
"Jun 8, 2023",8472,13
"Jun 9, 2023",8482,10
"Jun 10, 2023",8492,10
"Jun 11, 2023",8498,6
"Jun 12, 2023",8506,8
"Jun 13, 2023",8513,7
"Jun 14, 2023",8546,33
"Jun 15, 2023",8557,11
"Jun 16, 2023",8577,20
"Jun 17, 2023",8606,29
"Jun 18, 2023",8624,18
"Jun 19, 2023",8638,14
"Jun 20, 2023",8641,3
"Jun 21, 2023",8659,18
"Jun 22, 2023",8675,16
"Jun 23, 2023",8690,15
"Jun 24, 2023",8715,25
"Jun 25, 2023",8730,15
"Jun 26, 2023",8754,24
"Jun 27, 2023",8770,16
"Jun 28, 2023",8785,15
"Jun 29, 2023",8796,11
"Jun 30, 2023",8805,9
"Jul 1, 2023",8818,13
"Jul 2, 2023",8828,10
"Jul 3, 2023",8843,15
"Jul 4, 2023",8856,13
"Jul 5, 2023",8865,9
"Jul 6, 2023",8879,14
"Jul 7, 2023",8900,21
"Jul 8, 2023",8921,21
"Jul 9, 2023",8931,10
"Jul 10, 2023",8940,9
"Jul 11, 2023",8951,11
"Jul 12, 2023",8964,13
"Jul 13, 2023",8979,15
"Jul 14, 2023",9000,21
"Jul 15, 2023",9024,24
"Jul 16, 2023",9042,18
"Jul 17, 2023",9070,28
"Jul 18, 2023",9085,15
"Jul 19, 2023",9100,15
"Jul 20, 2023",9111,11
"Jul 21, 2023",9132,21
"Jul 22, 2023",9149,17
"Jul 23, 2023",9162,13
"Jul 24, 2023",9182,20
"Jul 25, 2023",9200,18
"Jul 26, 2023",9212,12
"Jul 27, 2023",9230,18
"Jul 28, 2023",9245,15
"Jul 29, 2023",9258,13
"Jul 30, 2023",9281,23
"Jul 31, 2023",9305,24
"Aug 1, 2023",9329,24
"Aug 2, 2023",9339,10
"Aug 3, 2023",9380,41
"Aug 4, 2023",9402,22
"Aug 5, 2023",9420,18
"Aug 6, 2023",9435,15
"Aug 7, 2023",9466,31
"Aug 8, 2023",9485,19
"Aug 9, 2023",9492,7
"Aug 10, 2023",9508,16
"Aug 11, 2023",9527,19
"Aug 12, 2023",9543,16
"Aug 13, 2023",9552,9
"Aug 14, 2023",9567,15
"Aug 15, 2023",9576,9
"Aug 16, 2023",9588,12
"Aug 17, 2023",9600,12
"Aug 18, 2023",9621,21
"Aug 19, 2023",9641,20
"Aug 20, 2023",9656,15
"Aug 21, 2023",9670,14
"Aug 22, 2023",9681,11
"Aug 23, 2023",9692,11
"Aug 24, 2023",9707,15
"Aug 25, 2023",9721,14
"Aug 26, 2023",9737,16
"Aug 27, 2023",9753,16
"Aug 28, 2023",9762,9
"Aug 29, 2023",9771,9
"Aug 30, 2023",9789,18
"Aug 31, 2023",9807,18
"Sep 1, 2023",9822,15
"Sep 2, 2023",9837,15
"Sep 3, 2023",9853,16
"Sep 4, 2023",9869,16
"Sep 5, 2023",9880,11
"Sep 6, 2023",9890,10
"Sep 7, 2023",9903,13
"Sep 8, 2023",9915,12
"Sep 9, 2023",9933,18
"Sep 10, 2023",9951,18
"Sep 11, 2023",9964,13
"Sep 12, 2023",9977,13
"Sep 13, 2023",9994,17
"Sep 14, 2023",10010,16
"Sep 15, 2023",10029,19
"Sep 16, 2023",10048,19
"Sep 17, 2023",10061,13
"Sep 18, 2023",10074,13
"Sep 19, 2023",10087,13
"Sep 20, 2023",10100,13
"Sep 21, 2023",10115,15
"Sep 22, 2023",10129,14
"Sep 23, 2023",10148,19
"Sep 24, 2023",10166,18
"Sep 25, 2023",10182,16
"Sep 26, 2023",10198,16
"Sep 27, 2023",10215,17
"Sep 28, 2023",10232,17
"Sep 29, 2023",10247,15
"Sep 30, 2023",10262,15
"Oct 1, 2023",10274,12
"Oct 2, 2023",10285,11
"Oct 3, 2023",10303,18
"Oct 4, 2023",10321,18
"Oct 5, 2023",10333,12
"Oct 6, 2023",10344,11
"Oct 7, 2023",10355,11
"Oct 8, 2023",10366,11
"Oct 9, 2023",10378,12
"Oct 10, 2023",10390,12
"Oct 11, 2023",10399,9
"Oct 12, 2023",10408,9
"Oct 13, 2023",10420,12
"Oct 14, 2023",10431,11
"Oct 15, 2023",10446,15
"Oct 16, 2023",10460,14
"Oct 17, 2023",10472,12
"Oct 18, 2023",10484,12
"Oct 19, 2023",10495,11
"Oct 20, 2023",10505,10
