Date,Total Views,Change
"Jan 26, 2024",0,0
"Jan 27, 2024",95523,95523
"Jan 28, 2024",119522,23999
"Jan 29, 2024",129950,10428
"Jan 30, 2024",134203,4253
"Jan 30, 2024",134758,555
"Jan 31, 2024",152384,17626
"Feb 1, 2024",170010,17626
"Feb 2, 2024",180682,10672
"Feb 3, 2024",191354,10672
"Feb 4, 2024",199630,8276
"Feb 5, 2024",207905,8275
"Feb 6, 2024",214273,6368
"Feb 7, 2024",220640,6367
"Feb 8, 2024",226008,5368
"Feb 9, 2024",231376,5368
"Feb 10, 2024",235291,3915
"Feb 11, 2024",239206,3915
"Feb 12, 2024",241795,2589
"Feb 13, 2024",244383,2588
"Feb 14, 2024",246259,1876
"Feb 15, 2024",248134,1875
"Feb 16, 2024",250154,2020
"Feb 17, 2024",252173,2019
"Feb 18, 2024",253496,1323
"Feb 19, 2024",254819,1323
"Feb 20, 2024",255820,1001
"Feb 21, 2024",256821,1001
"Feb 22, 2024",257700,879
"Feb 23, 2024",258579,879
"Feb 24, 2024",259368,789
"Feb 25, 2024",260156,788
"Feb 26, 2024",260765,609
"Feb 27, 2024",261373,608
"Feb 28, 2024",261956,583
"Feb 29, 2024",262539,583
"Mar 1, 2024",263138,599
"Mar 2, 2024",263737,599
"Mar 3, 2024",264253,516
"Mar 4, 2024",264769,516
"Mar 5, 2024",265214,445
"Mar 6, 2024",265659,445
"Mar 7, 2024",266125,466
"Mar 8, 2024",266590,465
"Mar 9, 2024",267061,471
"Mar 10, 2024",267532,471
"Mar 11, 2024",267822,290
"Mar 12, 2024",268111,289
"Mar 13, 2024",268429,318
"Mar 14, 2024",268747,318
"Mar 15, 2024",269099,352
"Mar 16, 2024",269450,351
"Mar 17, 2024",269741,291
"Mar 18, 2024",270031,290
"Mar 19, 2024",270296,265
"Mar 20, 2024",270561,265
"Mar 21, 2024",270812,251
"Mar 22, 2024",271063,251
"Mar 23, 2024",271299,236
"Mar 24, 2024",271534,235
"Mar 25, 2024",271770,236
"Mar 26, 2024",272006,236
"Mar 27, 2024",272254,248
"Mar 28, 2024",272501,247
"Mar 29, 2024",272752,251
"Mar 30, 2024",273002,250
"Mar 31, 2024",273179,177
"Apr 1, 2024",273355,176
"Apr 2, 2024",273566,211
"Apr 3, 2024",273776,210
"Apr 4, 2024",273949,173
"Apr 5, 2024",274122,173
"Apr 6, 2024",274319,197
"Apr 7, 2024",274516,197
"Apr 8, 2024",274691,175
"Apr 9, 2024",274866,175
"Apr 10, 2024",275057,191
"Apr 11, 2024",275247,190
"Apr 12, 2024",275460,213
"Apr 13, 2024",275673,213
"Apr 14, 2024",275823,150
"Apr 15, 2024",275973,150
"Apr 16, 2024",276121,148
"Apr 17, 2024",276268,147
"Apr 18, 2024",276406,138
"Apr 19, 2024",276544,138
"Apr 20, 2024",276687,143
"Apr 21, 2024",276829,142
"Apr 22, 2024",276955,126
"Apr 23, 2024",277080,125
"Apr 24, 2024",277204,124
"Apr 25, 2024",277328,124
"Apr 26, 2024",277458,130
"Apr 27, 2024",277588,130
"Apr 28, 2024",277710,122
"Apr 29, 2024",277831,121
"Apr 30, 2024",277957,126
"May 1, 2024",278083,126
"May 2, 2024",278214,131
"May 3, 2024",278344,130
"May 4, 2024",278483,139
"May 5, 2024",278622,139
"May 6, 2024",278710,88
"May 7, 2024",278798,88
"May 8, 2024",278924,126
"May 9, 2024",279049,125
"May 10, 2024",279186,137
"May 11, 2024",279323,137
"May 12, 2024",279464,141
"May 13, 2024",279605,141
"May 14, 2024",279712,107
"May 15, 2024",279819,107
"May 16, 2024",279934,115
"May 17, 2024",280049,115
"May 18, 2024",280157,108
"May 19, 2024",280265,108
"May 20, 2024",280335,70
"May 21, 2024",280405,70
"May 22, 2024",280524,119
"May 23, 2024",280642,118
"May 24, 2024",280776,134
"May 25, 2024",280910,134
"May 26, 2024",281022,112
"May 27, 2024",281133,111
"May 28, 2024",281238,105
"May 29, 2024",281342,104
"May 30, 2024",281439,97
"May 31, 2024",281536,97
"Jun 1, 2024",281646,110
"Jun 2, 2024",281756,110
"Jun 3, 2024",281834,78
