Date,Total Views,Change
"Mar 24, 2023",1214841,0
"Mar 25, 2023",1215680,839
"Mar 26, 2023",1218409,2729
"Mar 27, 2023",1220935,2526
"Mar 28, 2023",1222979,2044
"Mar 29, 2023",1225491,2512
"Mar 30, 2023",1228050,2559
"Mar 31, 2023",1231107,3057
"Apr 1, 2023",1235066,3959
"Apr 2, 2023",1238267,3201
"Apr 3, 2023",1240887,2620
"Apr 4, 2023",1243348,2461
"Apr 5, 2023",1245572,2224
"Apr 6, 2023",1247992,2420
"Apr 7, 2023",1252074,4082
"Apr 8, 2023",1255460,3386
"Apr 9, 2023",1258475,3015
"Apr 10, 2023",1260847,2372
"Apr 11, 2023",1263183,2336
"Apr 12, 2023",1266094,2911
"Apr 13, 2023",1268543,2449
"Apr 14, 2023",1270880,2337
"Apr 15, 2023",1273266,2386
"Apr 16, 2023",1275552,2286
"Apr 17, 2023",1277535,1983
"Apr 18, 2023",1279982,2447
"Apr 19, 2023",1282108,2126
"Apr 20, 2023",1283897,1789
"Apr 21, 2023",1286197,2300
"Apr 22, 2023",1288667,2470
"Apr 23, 2023",1291328,2661
"Apr 24, 2023",1293803,2475
"Apr 25, 2023",1297283,3480
"Apr 26, 2023",1300242,2959
"Apr 27, 2023",1303109,2867
"Apr 28, 2023",1305615,2506
"Apr 29, 2023",1308967,3352
"Apr 30, 2023",1311968,3001
"May 1, 2023",1315024,3056
"May 2, 2023",1317032,2008
"May 3, 2023",1320107,3075
"May 4, 2023",1323749,3642
"May 5, 2023",1326041,2292
"May 6, 2023",1329617,3576
"May 7, 2023",1332833,3216
"May 8, 2023",1335943,3110
"May 9, 2023",1339140,3197
"May 10, 2023",1342057,2917
"May 11, 2023",1344561,2504
"May 12, 2023",1347511,2950
"May 13, 2023",1350671,3160
"May 14, 2023",1353824,3153
"May 15, 2023",1356611,2787
"May 16, 2023",1359692,3081
"May 17, 2023",1362358,2666
"May 18, 2023",1364896,2538
"May 19, 2023",1367642,2746
"May 20, 2023",1370417,2775
"May 21, 2023",1372782,2365
"May 22, 2023",1376052,3270
"May 23, 2023",1378131,2079
"May 24, 2023",1380969,2838
"May 25, 2023",1383958,2989
"May 26, 2023",1388624,4666
"May 27, 2023",1392046,3422
"May 28, 2023",1394662,2616
"May 29, 2023",1397279,2617
"May 30, 2023",1399895,2616
"May 31, 2023",1401839,1944
"Jun 1, 2023",1404192,2353
"Jun 2, 2023",1406555,2363
"Jun 3, 2023",1409586,3031
"Jun 4, 2023",1412441,2855
