Date,Spotify Streams,Change
"Dec 31, 2006",0,0.0
"Jan 1, 2007",1308,1308.0
"Jan 2, 2007",2604,1296.0
"Jan 3, 2007",3886,1282.0
"Jan 4, 2007",5157,1271.0
"Jan 5, 2007",6415,1258.0
"Jan 6, 2007",7662,1247.0
"Jan 7, 2007",8897,1235.0
"Jan 8, 2007",10120,1223.0
"Jan 9, 2007",11333,1213.0
"Jan 10, 2007",12535,1202.0
"Jan 11, 2007",13726,1191.0
"Jan 12, 2007",14907,1181.0
"Jan 13, 2007",16078,1171.0
"Jan 14, 2007",17239,1161.0
"Jan 15, 2007",18390,1151.0
"Jan 16, 2007",19532,1142.0
"Jan 17, 2007",20664,1132.0
"Jan 18, 2007",21787,1123.0
"Jan 19, 2007",22901,1114.0
"Jan 20, 2007",24007,1106.0
"Jan 21, 2007",25103,1096.0
"Jan 22, 2007",26191,1088.0
"Jan 23, 2007",27271,1080.0
"Jan 24, 2007",28342,1071.0
"Jan 25, 2007",29405,1063.0
"Jan 26, 2007",30461,1056.0
"Jan 27, 2007",31508,1047.0
"Jan 28, 2007",32548,1040.0
"Jan 29, 2007",33580,1032.0
"Jan 30, 2007",34605,1025.0
"Jan 31, 2007",35623,1018.0
"Feb 1, 2007",36633,1010.0
"Feb 2, 2007",37636,1003.0
"Feb 3, 2007",38633,997.0
"Feb 4, 2007",39622,989.0
"Feb 5, 2007",40605,983.0
"Feb 6, 2007",41581,976.0
"Feb 7, 2007",42551,970.0
"Feb 8, 2007",43514,963.0
"Feb 9, 2007",44471,957.0
"Feb 10, 2007",45422,951.0
"Feb 11, 2007",46366,944.0
"Feb 12, 2007",47304,938.0
"Feb 13, 2007",48237,933.0
"Feb 14, 2007",49163,926.0
"Feb 15, 2007",50084,921.0
"Feb 16, 2007",50999,915.0
"Feb 17, 2007",51909,910.0
"Feb 18, 2007",52812,903.0
"Feb 19, 2007",53711,899.0
"Feb 20, 2007",54604,893.0
"Feb 21, 2007",55491,887.0
"Feb 22, 2007",56374,883.0
