Date,Likes,Change
"Jan 30, 2024",4263,0
"Jan 31, 2024",4579,316
"Feb 1, 2024",4895,316
"Feb 2, 2024",5059,164
"Feb 3, 2024",5223,164
"Feb 4, 2024",5342,119
"Feb 5, 2024",5461,119
"Feb 6, 2024",5567,106
"Feb 7, 2024",5672,105
"Feb 8, 2024",5744,72
"Feb 9, 2024",5816,72
"Feb 10, 2024",5855,39
"Feb 11, 2024",5894,39
"Feb 12, 2024",5917,23
"Feb 13, 2024",5940,23
"Feb 14, 2024",5965,25
"Feb 15, 2024",5990,25
"Feb 16, 2024",6006,16
"Feb 17, 2024",6022,16
"Feb 18, 2024",6038,16
"Feb 19, 2024",6053,15
"Feb 20, 2024",6060,7
"Feb 21, 2024",6066,6
"Feb 22, 2024",6073,7
"Feb 23, 2024",6080,7
"Feb 24, 2024",6084,4
"Feb 25, 2024",6088,4
"Feb 26, 2024",6092,4
"Feb 27, 2024",6096,4
"Feb 28, 2024",6100,4
"Feb 29, 2024",6103,3
"Mar 1, 2024",6105,2
"Mar 2, 2024",6107,2
"Mar 3, 2024",6110,3
"Mar 4, 2024",6113,3
"Mar 5, 2024",6116,3
"Mar 6, 2024",6119,3
"Mar 7, 2024",6121,2
"Mar 8, 2024",6123,2
"Mar 9, 2024",6129,6
"Mar 10, 2024",6135,6
"Mar 11, 2024",6140,5
"Mar 12, 2024",6144,4
"Mar 13, 2024",6147,3
"Mar 14, 2024",6149,2
"Mar 15, 2024",6155,6
"Mar 16, 2024",6160,5
"Mar 17, 2024",6161,1
"Mar 18, 2024",6161,0
"Mar 19, 2024",6163,2
"Mar 20, 2024",6165,2
"Mar 21, 2024",6168,3
"Mar 22, 2024",6171,3
"Mar 23, 2024",6174,3
"Mar 24, 2024",6176,2
"Mar 25, 2024",6177,1
"Mar 26, 2024",6177,0
"Mar 27, 2024",6178,1
"Mar 28, 2024",6178,0
"Mar 29, 2024",6180,2
"Mar 30, 2024",6181,1
"Mar 31, 2024",6182,1
"Apr 1, 2024",6183,1
"Apr 2, 2024",6185,2
"Apr 3, 2024",6187,2
"Apr 4, 2024",6187,0
"Apr 5, 2024",6187,0
"Apr 6, 2024",6189,2
"Apr 7, 2024",6190,1
"Apr 8, 2024",6191,1
"Apr 9, 2024",6192,1
"Apr 10, 2024",6192,0
"Apr 11, 2024",6192,0
"Apr 12, 2024",6192,0
"Apr 13, 2024",6192,0
"Apr 14, 2024",6193,1
"Apr 15, 2024",6194,1
"Apr 16, 2024",6195,1
"Apr 17, 2024",6196,1
"Apr 18, 2024",6197,1
"Apr 19, 2024",6197,0
"Apr 20, 2024",6198,1
"Apr 21, 2024",6198,0
"Apr 22, 2024",6199,1
"Apr 23, 2024",6200,1
"Apr 24, 2024",6200,0
"Apr 25, 2024",6200,0
"Apr 26, 2024",6201,1
"Apr 27, 2024",6202,1
"Apr 28, 2024",6202,0
"Apr 29, 2024",6202,0
"Apr 30, 2024",6202,0
"May 1, 2024",6202,0
"May 2, 2024",6204,2
"May 3, 2024",6205,1
"May 4, 2024",6205,0
"May 5, 2024",6205,0
"May 6, 2024",6205,0
"May 7, 2024",6204,-1
"May 8, 2024",6205,1
"May 9, 2024",6206,1
"May 10, 2024",6208,2
"May 11, 2024",6209,1
"May 12, 2024",6210,1
"May 13, 2024",6211,1
"May 14, 2024",6212,1
"May 15, 2024",6213,1
"May 16, 2024",6214,1
"May 17, 2024",6215,1
"May 18, 2024",6217,2
"May 19, 2024",6218,1
"May 20, 2024",6219,1
"May 21, 2024",6219,0
"May 22, 2024",6218,-1
"May 23, 2024",6217,-1
"May 24, 2024",6219,2
"May 25, 2024",6221,2
"May 26, 2024",6221,0
"May 27, 2024",6220,-1
"May 28, 2024",6220,0
"May 29, 2024",6219,-1
"May 30, 2024",6219,0
"May 31, 2024",6218,-1
"Jun 1, 2024",6217,-1
"Jun 2, 2024",6216,-1
"Jun 3, 2024",6216,0
"Jun 4, 2024",6216,0
"Jun 5, 2024",6216,0
"Jun 6, 2024",6215,-1
"Jun 7, 2024",6216,1
"Jun 8, 2024",6216,0
"Jun 9, 2024",6216,0
"Jun 10, 2024",6216,0
"Jun 11, 2024",6216,0
"Jun 12, 2024",6215,-1
"Jun 13, 2024",6215,0
"Jun 14, 2024",6215,0
"Jun 15, 2024",6214,-1
"Jun 16, 2024",6213,-1
"Jun 17, 2024",6213,0
"Jun 18, 2024",6212,-1
