Date,Total Views,Change
"Nov 10, 2011",0,0
"Nov 11, 2011",50905,50905
"Nov 12, 2011",101128,50223
"Nov 13, 2011",150687,49559
"Nov 14, 2011",199602,48915
"Nov 15, 2011",247892,48290
"Nov 16, 2011",295573,47681
"Nov 17, 2011",342664,47091
"Nov 18, 2011",389179,46515
"Nov 19, 2011",435134,45955
"Nov 20, 2011",480543,45409
"Nov 21, 2011",525421,44878
"Nov 22, 2011",569781,44360
"Nov 23, 2011",613636,43855
"Nov 24, 2011",656998,43362
"Nov 25, 2011",699880,42882
"Nov 26, 2011",742292,42412
"Nov 27, 2011",784246,41954
"Nov 28, 2011",825752,41506
"Nov 29, 2011",866821,41069
"Nov 30, 2011",907462,40641
"Dec 1, 2011",947685,40223
"Dec 2, 2011",987499,39814
"Dec 3, 2011",1026914,39415
"Dec 4, 2011",1065936,39022
"Dec 5, 2011",1104576,38640
"Dec 6, 2011",1142840,38264
"Dec 7, 2011",1180736,37896
"Dec 8, 2011",1218272,37536
"Dec 9, 2011",1255456,37184
"Dec 10, 2011",1292293,36837
"Dec 11, 2011",1328792,36499
"Dec 12, 2011",1364957,36165
"Dec 13, 2011",1400797,35840
"Dec 14, 2011",1436317,35520
"Dec 15, 2011",1471522,35205
"Dec 16, 2011",1506420,34898
"Dec 17, 2011",1541015,34595
"Dec 18, 2011",1575313,34298
"Dec 19, 2011",1609319,34006
"Dec 20, 2011",1643038,33719
"Dec 21, 2011",1676476,33438
"Dec 22, 2011",1709638,33162
"Dec 23, 2011",1742527,32889
"Dec 24, 2011",1775149,32622
"Dec 25, 2011",1807509,32360
"Dec 26, 2011",1839610,32101
"Dec 27, 2011",1871457,31847
"Dec 28, 2011",1903054,31597
"Dec 29, 2011",1934405,31351
"Dec 30, 2011",1965515,31110
"Dec 31, 2011",1996386,30871
"Jan 1, 2012",2027023,30637
"Jan 2, 2012",2057430,30407
"Jan 3, 2012",2087609,30179
"Jan 4, 2012",2117565,29956
"Jan 5, 2012",2147301,29736
"Jan 6, 2012",2176820,29519
"Jan 7, 2012",2206125,29305
"Jan 8, 2012",2235220,29095
"Jan 9, 2012",2264108,28888
"Jan 10, 2012",2292791,28683
"Jan 11, 2012",2321273,28482
"Jan 12, 2012",2349557,28284
"Jan 13, 2012",2377645,28088
"Jan 14, 2012",2405540,27895
"Jan 15, 2012",2433246,27706
"Jan 16, 2012",2460764,27518
"Jan 17, 2012",2488097,27333
"Jan 18, 2012",2515247,27150
"Jan 19, 2012",2542218,26971
"Jan 20, 2012",2569012,26794
"Jan 21, 2012",2595630,26618
"Jan 22, 2012",2622076,26446
"Jan 23, 2012",2648351,26275
"Jan 24, 2012",2674458,26107
"Jan 25, 2012",2700399,25941
"Jan 26, 2012",2726177,25778
"Jan 27, 2012",2751793,25616
"Jan 28, 2012",2777249,25456
"Jan 29, 2012",2802547,25298
"Jan 30, 2012",2827690,25143
"Jan 31, 2012",2852679,24989
"Feb 1, 2012",2877516,24837
"Feb 2, 2012",2902203,24687
"Feb 3, 2012",2926743,24540
"Feb 4, 2012",2951136,24393
"Feb 5, 2012",2975384,24248
"Feb 6, 2012",2999490,24106
"Feb 7, 2012",3023455,23965
"Feb 8, 2012",3047280,23825
"Feb 9, 2012",3070968,23688
"Feb 10, 2012",3094519,23551
"Feb 11, 2012",3117936,23417
"Feb 12, 2012",3141220,23284
"Feb 13, 2012",3164373,23153
"Feb 14, 2012",3187396,23023
"Feb 15, 2012",3210290,22894
"Feb 16, 2012",3233057,22767
"Feb 17, 2012",3255699,22642
"Feb 18, 2012",3278217,22518
"Feb 19, 2012",3300611,22394
"Feb 20, 2012",3322885,22274
"Feb 21, 2012",3345038,22153
"Feb 22, 2012",3367073,22035
"Feb 23, 2012",3388990,21917
"Feb 24, 2012",3410791,21801
"Feb 25, 2012",3432477,21686
"Feb 26, 2012",3454049,21572
"Feb 27, 2012",3475509,21460
"Feb 28, 2012",3496857,21348
"Feb 29, 2012",3518096,21239
"Mar 1, 2012",3539225,21129
"Mar 2, 2012",3560247,21022
"Mar 3, 2012",3581162,20915
"Mar 4, 2012",3601971,20809
"Mar 5, 2012",3622675,20704
"Mar 6, 2012",3643277,20602
"Mar 7, 2012",3663775,20498
"Mar 8, 2012",3684173,20398
"Mar 9, 2012",3704470,20297
"Mar 10, 2012",3724668,20198
"Mar 11, 2012",3744767,20099
"Mar 12, 2012",3764769,20002
"Mar 13, 2012",3784675,19906
"Mar 14, 2012",3804485,19810
"Mar 15, 2012",3824201,19716
"Mar 16, 2012",3843823,19622
"Mar 17, 2012",3863353,19530
"Mar 18, 2012",3882790,19437
"Mar 19, 2012",3902137,19347
"Mar 20, 2012",3921394,19257
"Mar 21, 2012",3940561,19167
"Mar 22, 2012",3959640,19079
"Mar 23, 2012",3978632,18992
"Mar 24, 2012",3997537,18905
"Mar 25, 2012",4016356,18819
"Mar 26, 2012",4035090,18734
"Mar 27, 2012",4053740,18650
"Mar 28, 2012",4072306,18566
"Mar 29, 2012",4090790,18484
"Mar 30, 2012",4109192,18402
"Mar 31, 2012",4127512,18320
"Apr 1, 2012",4145752,18240
"Apr 2, 2012",4163912,18160
"Apr 3, 2012",4181994,18082
"Apr 4, 2012",4199996,18002
"Apr 5, 2012",4217922,17926
"Apr 6, 2012",4235770,17848
"Apr 7, 2012",4253542,17772
"Apr 8, 2012",4271239,17697
"Apr 9, 2012",4288861,17622
"Apr 10, 2012",4306408,17547
"Apr 11, 2012",4323882,17474
"Apr 12, 2012",4341283,17401
"Apr 13, 2012",4358612,17329
"Apr 14, 2012",4375869,17257
"Apr 15, 2012",4393055,17186
"Apr 16, 2012",4410171,17116
"Apr 17, 2012",4427217,17046
"Apr 18, 2012",4444193,16976
"Apr 19, 2012",4461101,16908
