Date,Total Views,Change
2023-02-08,58000000,
2023-03-08,2600000,-55400000.0
2023-04-08,1240000,-1360000.0
2023-05-08,980000,-260000.0
2023-06-08,810000,-170000.0
2023-07-08,640000,-170000.0
2023-08-08,460000,-180000.0
2023-09-08,350000,-110000.0
2023-10-08,390000,40000.0
2023-11-08,420000,30000.0
2023-12-08,360000,-60000.0
2024-01-08,410000,50000.0
2024-02-08,360000,-50000.0
2024-03-08,300000,-60000.0
2024-04-08,240000,-60000.0
2024-05-08,280000,40000.0
2024-06-08,240000,-40000.0
2024-07-08,220000,-20000.0
2024-08-08,180000,-40000.0
2024-09-08,300000,120000.0
2024-10-08,420000,120000.0
2024-11-08,530000,110000.0
2024-12-08,410000,-120000.0
2025-01-08,105000,-305000.0
2025-02-08,390000,285000.0
2025-03-08,230000,-160000.0
2025-04-08,240000,10000.0
2025-05-08,200000,-40000.0
2025-06-08,210000,10000.0
2025-07-08,185000,-25000.0
2025-08-08,159000,-26000.0
2025-09-08,149000,-10000.0
2025-10-08,157000,8000.0
2025-11-08,86000,-71000.0
