Date,Likes,Change
"Sep 24, 2021",394359,0
"Sep 25, 2021",525968,131609
"Sep 26, 2021",657577,131609
"Sep 27, 2021",789186,131609
"Sep 28, 2021",920795,131609
"Sep 29, 2021",1052403,131608
"Sep 30, 2021",1184012,131609
"Oct 1, 2021",1315621,131609
"Oct 2, 2021",1447230,131609
"Oct 3, 2021",1578839,131609
"Oct 4, 2021",1710448,131609
"Oct 5, 2021",1842057,131609
"Oct 6, 2021",1973666,131609
"Oct 7, 2021",2105275,131609
"Oct 8, 2021",2236884,131609
"Oct 9, 2021",2368492,131608
"Oct 10, 2021",2500101,131609
"Oct 11, 2021",2631710,131609
"Oct 12, 2021",2763319,131609
"Oct 13, 2021",2894928,131609
"Oct 14, 2021",2926619,31691
"Oct 15, 2021",2963908,37289
"Oct 16, 2021",3004956,41048
"Oct 17, 2021",3039685,34729
"Oct 18, 2021",3071915,32230
"Oct 19, 2021",3102541,30626
"Oct 20, 2021",3130384,27843
"Oct 21, 2021",3158656,28272
"Oct 22, 2021",3186300,27644
"Oct 23, 2021",3215596,29296
"Oct 24, 2021",3240582,24986
"Oct 25, 2021",3266109,25527
"Oct 26, 2021",3290583,24474
"Oct 27, 2021",3316070,25487
"Oct 28, 2021",3340764,24694
"Oct 29, 2021",3365010,24246
"Oct 30, 2021",3392165,27155
"Oct 31, 2021",3416608,24443
"Nov 1, 2021",3441068,24460
"Nov 2, 2021",3466620,25552
"Nov 3, 2021",3493750,27130
"Nov 4, 2021",3518856,25106
"Nov 5, 2021",3544219,25363
"Nov 6, 2021",3571910,27691
"Nov 7, 2021",3597016,25106
"Nov 8, 2021",3621578,24562
"Nov 9, 2021",3645725,24147
"Nov 10, 2021",3669230,23505
"Nov 11, 2021",3691297,22067
"Nov 12, 2021",3713067,21770
"Nov 13, 2021",3737320,24253
"Nov 14, 2021",3757715,20395
"Nov 15, 2021",3776620,18905
"Nov 16, 2021",3796884,20264
"Nov 17, 2021",3817929,21045
"Nov 18, 2021",3841232,23303
"Nov 19, 2021",3863633,22401
"Nov 20, 2021",3887778,24145
"Nov 21, 2021",3910727,22949
"Nov 22, 2021",3932653,21926
"Nov 23, 2021",3953482,20829
"Nov 24, 2021",3973210,19728
"Nov 25, 2021",3992401,19191
"Nov 26, 2021",4013586,21185
