Date,Spotify Streams,Change
"Sep 24, 2021",0,0
"Sep 25, 2021",40993,40993
"Sep 26, 2021",52549,11556
"Sep 27, 2021",142961,90412
"Sep 28, 2021",355521,212560
"Sep 29, 2021",355521,0
"Sep 30, 2021",463229,107708
"Oct 1, 2021",463229,0
"Oct 2, 2021",463229,0
"Oct 3, 2021",463229,0
"Oct 4, 2021",882328,419099
"Oct 5, 2021",1011050,128722
"Oct 6, 2021",1011050,0
"Oct 7, 2021",1011050,0
"Oct 8, 2021",1011050,0
"Oct 9, 2021",1438020,426970
"Oct 10, 2021",1749120,311100
"Oct 11, 2021",1910425,161305
"Oct 12, 2021",2066733,156308
"Oct 13, 2021",2227891,161158
"Oct 14, 2021",2066733,-161158
"Oct 15, 2021",2544780,478047
"Oct 16, 2021",2544780,0
"Oct 17, 2021",2861694,316914
"Oct 18, 2021",3032460,170766
"Oct 19, 2021",3032460,0
"Oct 20, 2021",3193008,160548
"Oct 21, 2021",3353466,160458
"Oct 22, 2021",3675204,321738
"Oct 23, 2021",3675204,0
"Oct 24, 2021",4003438,328234
"Oct 25, 2021",4003438,0
"Oct 26, 2021",4302669,299231
"Oct 27, 2021",4455065,152396
"Oct 28, 2021",4609455,154390
"Oct 29, 2021",4762553,153098
"Oct 30, 2021",4921856,159303
"Oct 31, 2021",5089474,167618
"Nov 1, 2021",5257666,168192
"Nov 2, 2021",5416993,159327
"Nov 3, 2021",5576201,159208
"Nov 4, 2021",5739332,163131
"Nov 5, 2021",5885797,146465
"Nov 6, 2021",6025094,139297
"Nov 7, 2021",6177659,152565
"Nov 8, 2021",6331384,153725
"Nov 9, 2021",6476910,145526
"Nov 10, 2021",6625957,149047
"Nov 11, 2021",6774420,148463
"Nov 12, 2021",6919458,145038
"Nov 13, 2021",7222385,302927
"Nov 14, 2021",7222385,0
"Nov 15, 2021",7368990,146605
"Nov 16, 2021",7515596,146605
"Nov 17, 2021",7662201,146605
"Nov 18, 2021",7807340,145139
"Nov 19, 2021",7954724,147384
"Nov 20, 2021",8106220,151496
"Nov 21, 2021",8257715,151496
"Nov 22, 2021",8411455,153740
"Nov 23, 2021",8551339,139884
"Nov 24, 2021",8691222,139884
"Nov 25, 2021",8833644,142422
"Nov 26, 2021",8975264,141620
"Nov 27, 2021",9116883,141620
"Nov 28, 2021",9264595,147712
"Nov 29, 2021",9412852,148257
"Nov 30, 2021",9549498,136646
"Dec 1, 2021",9689747,140249
"Dec 2, 2021",9827691,137944
"Dec 3, 2021",9962884,135193
"Dec 4, 2021",10092105,129221
"Dec 5, 2021",10224188,132083
"Dec 6, 2021",10479925,255737
"Dec 7, 2021",10479925,0
"Dec 8, 2021",10479925,0
"Dec 9, 2021",10724638,244713
"Dec 10, 2021",10724638,0
"Dec 11, 2021",10966269,241631
"Dec 12, 2021",11093497,127228
"Dec 13, 2021",11216079,122582
"Dec 14, 2021",11338660,122582
"Dec 15, 2021",11455433,116773
"Dec 16, 2021",11574432,118999
"Dec 17, 2021",11691989,117557
"Dec 18, 2021",11809023,117034
"Dec 19, 2021",11930061,121038
"Dec 20, 2021",12051098,121038
"Dec 21, 2021",12162312,111214
"Dec 22, 2021",12273526,111214
"Dec 23, 2021",12385459,111933
"Dec 24, 2021",12503299,117840
"Dec 25, 2021",12626792,123493
"Dec 26, 2021",12751972,125180
"Dec 27, 2021",12872896,120924
"Dec 28, 2021",13101993,229097
"Dec 29, 2021",13101993,0
"Dec 30, 2021",13215274,113281
"Dec 31, 2021",13328929,113655
"Jan 1, 2022",13448710,119781
"Jan 2, 2022",13560911,112201
"Jan 3, 2022",13673249,112338
"Jan 4, 2022",13776819,103570
"Jan 5, 2022",13880005,103186
"Jan 6, 2022",13981447,101442
"Jan 7, 2022",14082957,101510
"Jan 8, 2022",14185981,103024
"Jan 9, 2022",14289005,103024
"Jan 10, 2022",14393612,104607
"Jan 11, 2022",14492137,98525
"Jan 12, 2022",14590816,98679
"Jan 13, 2022",14690394,99578
"Jan 14, 2022",14788440,98046
"Jan 15, 2022",14890234,101794
"Jan 16, 2022",14989966,99732
"Jan 17, 2022",15087941,97975
"Jan 18, 2022",15180195,92254
"Jan 19, 2022",15271225,91030
"Jan 20, 2022",15363048,91823
"Jan 21, 2022",15456359,93311
"Jan 22, 2022",15548122,91763
"Jan 23, 2022",15642565,94443
"Jan 24, 2022",15734579,92014
"Jan 25, 2022",15822422,87843
"Jan 26, 2022",15911936,89514
"Jan 27, 2022",15998541,86605
"Jan 28, 2022",16085601,87060
"Jan 29, 2022",16175888,90287
"Jan 30, 2022",16269880,93992
"Jan 31, 2022",16362681,92801
"Feb 1, 2022",16448629,85948
"Feb 2, 2022",16622943,174314
"Feb 3, 2022",16622943,0
"Feb 4, 2022",16713733,90790
"Feb 5, 2022",16804586,90853
"Feb 6, 2022",16898535,93949
"Feb 7, 2022",16988612,90077
"Feb 8, 2022",17072819,84207
"Feb 9, 2022",17156845,84026
"Feb 10, 2022",17328404,171559
"Feb 11, 2022",17328404,0
"Feb 12, 2022",17414034,85630
"Feb 13, 2022",17504446,90412
"Feb 14, 2022",17594988,90542
"Feb 15, 2022",17678708,83720
"Feb 16, 2022",17763816,85108
"Feb 17, 2022",17850378,86562
"Feb 18, 2022",17935654,85276
"Feb 19, 2022",18020553,84899
"Feb 20, 2022",18109488,88935
"Feb 21, 2022",18197875,88387
"Feb 22, 2022",18280495,82620
"Feb 23, 2022",18362868,82373
"Feb 24, 2022",18444486,81618
"Feb 25, 2022",18525520,81034
"Feb 26, 2022",18606422,80902
"Feb 27, 2022",18691636,85214
"Feb 28, 2022",18775467,83831
"Mar 1, 2022",18851938,76471
"Mar 2, 2022",18924557,72619
"Mar 3, 2022",19000102,75545
"Mar 4, 2022",19076686,76584
"Mar 5, 2022",19153304,76618
"Mar 6, 2022",19234146,80842
"Mar 7, 2022",19314157,80011
"Mar 8, 2022",19388237,74080
"Mar 9, 2022",19459875,71638
"Mar 10, 2022",19536822,76947
"Mar 11, 2022",19611282,74460
"Mar 12, 2022",19687399,76117
"Mar 13, 2022",19768209,80810
"Mar 14, 2022",19847665,79456
"Mar 15, 2022",19847665,0
"Mar 16, 2022",19997052,149387
"Mar 17, 2022",20074911,77859
"Mar 18, 2022",20152849,77938
"Mar 19, 2022",20215147,62298
"Mar 20, 2022",20287696,72549
"Mar 21, 2022",20363909,76213
"Mar 22, 2022",20434688,70779
"Mar 23, 2022",20505086,70398
"Mar 24, 2022",20575527,70441
"Mar 25, 2022",20646869,71342
"Mar 26, 2022",20717963,71094
"Mar 27, 2022",20791926,73963
"Mar 28, 2022",20864779,72853
"Mar 29, 2022",20933447,68668
"Mar 30, 2022",21003976,70529
"Mar 31, 2022",21075908,71932
"Apr 1, 2022",21147473,71565
"Apr 2, 2022",21219278,71805
"Apr 3, 2022",21219278,0
"Apr 4, 2022",21343389,124111
"Apr 5, 2022",21401236,57847
"Apr 6, 2022",21460313,59077
"Apr 7, 2022",21519678,59365
"Apr 8, 2022",21579543,59865
"Apr 9, 2022",21642570,63027
"Apr 10, 2022",21706990,64420
"Apr 11, 2022",21767721,60731
"Apr 12, 2022",21829386,61665
"Apr 13, 2022",21891588,62202
"Apr 14, 2022",21955928,64340
"Apr 15, 2022",22020480,64552
"Apr 16, 2022",22085868,65388
"Apr 17, 2022",22149102,63234
"Apr 18, 2022",22213549,64447
"Apr 19, 2022",22273901,60352
"Apr 20, 2022",22335101,61200
"Apr 21, 2022",22396891,61790
"Apr 22, 2022",22396891,0
"Apr 23, 2022",22524229,127338
"Apr 24, 2022",22591619,67390
"Apr 25, 2022",22657009,65390
"Apr 26, 2022",22718969,61960
"Apr 27, 2022",22780631,61662
"Apr 28, 2022",22909288,128657
"Apr 29, 2022",22909288,0
"Apr 30, 2022",22973155,63867
"May 1, 2022",23037671,64516
"May 2, 2022",23101096,63425
"May 3, 2022",23165071,63975
"May 4, 2022",23228002,62931
"May 5, 2022",23291014,63012
"May 6, 2022",23354872,63858
"May 7, 2022",23419372,64500
"May 8, 2022",23483133,63761
"May 9, 2022",23545765,62632
"May 10, 2022",23605167,59402
"May 11, 2022",23664004,58837
"May 12, 2022",23723311,59307
"May 13, 2022",23782803,59492
"May 14, 2022",23843334,60531
"May 15, 2022",23908557,65223
"May 16, 2022",23970918,62361
"May 17, 2022",24031295,60377
"May 18, 2022",24091035,59740
"May 19, 2022",24153367,62332
"May 20, 2022",24212385,59018
"May 21, 2022",24273827,61442
"May 22, 2022",24336659,62832
"May 23, 2022",24397733,61074
"May 24, 2022",24457032,59299
"May 25, 2022",24515465,58433
"May 26, 2022",24576560,61095
"May 27, 2022",24637620,61060
"May 28, 2022",24698679,61060
"May 29, 2022",24764069,65390
"May 30, 2022",24825952,61883
"May 31, 2022",24885459,59507
"Jun 1, 2022",24946797,61338
"Jun 2, 2022",25005279,58482
"Jun 3, 2022",25065696,60417
"Jun 4, 2022",25127150,61454
"Jun 5, 2022",25192921,65771
"Jun 6, 2022",25256620,63699
"Jun 7, 2022",25316761,60141
"Jun 8, 2022",25377488,60727
"Jun 9, 2022",25439544,62056
"Jun 10, 2022",25500412,60868
"Jun 11, 2022",25562300,61888
"Jun 12, 2022",25626842,64542
"Jun 13, 2022",25689933,63091
"Jun 14, 2022",25750119,60186
"Jun 15, 2022",25810098,59979
"Jun 16, 2022",25870692,60594
"Jun 17, 2022",25931569,60877
"Jun 18, 2022",25991954,60385
"Jun 19, 2022",26055549,63595
"Jun 20, 2022",26117505,61956
"Jun 21, 2022",26176580,59075
"Jun 22, 2022",26176580,0
"Jun 23, 2022",26299726,123146
"Jun 24, 2022",26360983,61257
"Jun 25, 2022",26423275,62292
"Jun 26, 2022",26487221,63946
"Jun 27, 2022",26550980,63759
"Jun 28, 2022",26610163,59183
"Jun 29, 2022",26669890,59727
"Jun 30, 2022",26728380,58490
"Jul 1, 2022",26787297,58917
"Jul 2, 2022",26844476,57179
"Jul 3, 2022",26905728,61252
"Jul 4, 2022",26966896,61168
"Jul 5, 2022",27024713,57817
"Jul 6, 2022",27081117,56404
"Jul 7, 2022",27139749,58632
"Jul 8, 2022",27197249,57500
"Jul 9, 2022",27255218,57969
"Jul 10, 2022",27317131,61913
"Jul 11, 2022",27375978,58847
"Jul 12, 2022",27432670,56692
"Jul 13, 2022",27490065,57395
"Jul 14, 2022",27547289,57224
"Jul 15, 2022",27603164,55875
"Jul 16, 2022",27659731,56567
"Jul 17, 2022",27719400,59669
"Jul 18, 2022",27780069,60669
"Jul 19, 2022",27837720,57651
"Jul 20, 2022",27897102,59382
"Jul 21, 2022",27956873,59771
"Jul 22, 2022",28016287,59414
"Jul 23, 2022",28075243,58956
"Jul 24, 2022",28136464,61221
"Jul 25, 2022",28197102,60638
"Jul 26, 2022",28253327,56225
"Jul 27, 2022",28310896,57569
"Jul 28, 2022",28369085,58189
"Jul 29, 2022",28426886,57801
"Jul 30, 2022",28483978,57092
"Jul 31, 2022",28544127,60149
"Aug 1, 2022",28603216,59089
"Aug 2, 2022",28656892,53676
"Aug 3, 2022",28711466,54574
"Aug 4, 2022",28766856,55390
"Aug 5, 2022",28821696,54840
"Aug 6, 2022",28878576,56880
"Aug 7, 2022",28937867,59291
"Aug 8, 2022",28995166,57299
"Aug 9, 2022",29047978,52812
"Aug 10, 2022",29102704,54726
"Aug 11, 2022",29159933,57229
"Aug 12, 2022",29216741,56808
"Aug 13, 2022",29272292,55551
"Aug 14, 2022",29330685,58393
"Aug 15, 2022",29387843,57158
"Aug 16, 2022",29438933,51090
"Aug 17, 2022",29494203,55270
"Aug 18, 2022",29550978,56775
"Aug 19, 2022",29606619,55641
"Aug 20, 2022",29659702,53083
"Aug 21, 2022",29718395,58693
"Aug 22, 2022",29778158,59763
"Aug 23, 2022",29831892,53734
"Aug 24, 2022",29887694,55802
"Aug 25, 2022",29943658,55964
"Aug 26, 2022",30000396,56738
"Aug 27, 2022",30057921,57525
"Aug 28, 2022",30117124,59203
"Aug 29, 2022",30170865,53741
"Aug 30, 2022",30224968,54103
"Aug 31, 2022",30280994,56026
"Sep 1, 2022",30332466,51472
"Sep 2, 2022",30384872,52406
"Sep 3, 2022",30440098,55226
"Sep 4, 2022",30497695,57597
"Sep 5, 2022",30553224,55529
"Sep 6, 2022",30553224,0
"Sep 7, 2022",30661360,108136
"Sep 8, 2022",30715594,54234
"Sep 9, 2022",30771467,55873
"Sep 10, 2022",30826222,54755
"Sep 11, 2022",30884841,58619
"Sep 12, 2022",30942990,58149
"Sep 13, 2022",30998567,55577
"Sep 14, 2022",31055528,56961
"Sep 15, 2022",31112929,57401
