Date,Total Views,Change
"Sep 24, 2021",2781568,0
"Sep 25, 2021",7941207,5159639
"Sep 26, 2021",13100846,5159639
"Sep 27, 2021",18260484,5159638
"Sep 28, 2021",23420123,5159639
"Sep 29, 2021",28579762,5159639
"Sep 30, 2021",33739401,5159639
"Oct 1, 2021",38899040,5159639
"Oct 2, 2021",44058678,5159638
"Oct 3, 2021",49218317,5159639
"Oct 4, 2021",54377956,5159639
"Oct 5, 2021",59537595,5159639
"Oct 6, 2021",64697233,5159638
"Oct 7, 2021",69856872,5159639
"Oct 8, 2021",75016511,5159639
"Oct 9, 2021",80176150,5159639
"Oct 10, 2021",85335789,5159639
"Oct 11, 2021",90495427,5159638
"Oct 12, 2021",95655066,5159639
"Oct 13, 2021",100814705,5159639
"Oct 14, 2021",103512161,2697456
"Oct 15, 2021",106860713,3348552
"Oct 16, 2021",110601103,3740390
"Oct 17, 2021",113933736,3332633
"Oct 18, 2021",117024075,3090339
"Oct 19, 2021",119960371,2936296
"Oct 20, 2021",122893041,2932670
"Oct 21, 2021",125811050,2918009
"Oct 22, 2021",128820537,3009487
"Oct 23, 2021",131961096,3140559
"Oct 24, 2021",134791204,2830108
"Oct 25, 2021",137630141,2838937
"Oct 26, 2021",140364507,2734366
"Oct 27, 2021",143160219,2795712
"Oct 28, 2021",146011654,2851435
"Oct 29, 2021",148902016,2890362
"Oct 30, 2021",152102790,3200774
"Oct 31, 2021",154983735,2880945
"Nov 1, 2021",157935666,2951931
"Nov 2, 2021",160976353,3040687
"Nov 3, 2021",164219141,3242788
"Nov 4, 2021",167246646,3027505
"Nov 5, 2021",170211662,2965016
"Nov 6, 2021",173285938,3074276
"Nov 7, 2021",176497438,3211500
"Nov 8, 2021",179447455,2950017
"Nov 9, 2021",182199789,2752334
"Nov 10, 2021",184881483,2681694
"Nov 11, 2021",187551549,2670066
"Nov 12, 2021",190188327,2636778
"Nov 13, 2021",193153073,2964746
"Nov 14, 2021",195747539,2594466
"Nov 15, 2021",198181652,2434113
"Nov 16, 2021",200682664,2501012
"Nov 17, 2021",203353408,2670744
"Nov 18, 2021",206143619,2790211
"Nov 19, 2021",209046912,2903293
"Nov 20, 2021",212080836,3033924
"Nov 21, 2021",215076708,2995872
"Nov 22, 2021",217916132,2839424
"Nov 23, 2021",220611375,2695243
"Nov 24, 2021",223208201,2596826
"Nov 25, 2021",225799840,2591639
"Nov 26, 2021",228656645,2856805
"Nov 27, 2021",231535774,2879129
"Nov 28, 2021",234050232,2514458
"Nov 29, 2021",236471374,2421142
"Nov 30, 2021",238988392,2517018
"Dec 1, 2021",241455338,2466946
"Dec 2, 2021",243914069,2458731
"Dec 3, 2021",246330891,2416822
"Dec 4, 2021",248812976,2482085
"Dec 5, 2021",251009433,2196457
"Dec 6, 2021",253138126,2128693
"Dec 7, 2021",255139812,2001686
"Dec 8, 2021",257130150,1990338
"Dec 9, 2021",259305686,2175536
"Dec 10, 2021",262106423,2800737
"Dec 11, 2021",264831597,2725174
"Dec 12, 2021",267270253,2438656
"Dec 13, 2021",269605659,2335406
"Dec 14, 2021",271821825,2216166
"Dec 15, 2021",274107474,2285649
"Dec 16, 2021",276297258,2189784
"Dec 17, 2021",278522829,2225571
"Dec 18, 2021",280656730,2133901
"Dec 19, 2021",282790631,2133901
"Dec 20, 2021",284660144,1869513
"Dec 21, 2021",286559452,1899308
"Dec 22, 2021",288469794,1910342
"Dec 23, 2021",290357842,1888048
"Dec 24, 2021",292508576,2150734
"Dec 25, 2021",294699746,2191170
"Dec 26, 2021",296616411,1916665
"Dec 27, 2021",298498488,1882077
"Dec 28, 2021",300270382,1771894
"Dec 29, 2021",302067862,1797480
"Dec 30, 2021",303875480,1807618
"Dec 31, 2021",306188770,2313290
"Jan 1, 2022",308274010,2085240
"Jan 2, 2022",310038849,1764839
"Jan 3, 2022",311756270,1717421
"Jan 4, 2022",313470686,1714416
"Jan 5, 2022",315113607,1642921
"Jan 6, 2022",316756528,1642921
"Jan 7, 2022",318508298,1751770
"Jan 8, 2022",320265206,1756908
"Jan 9, 2022",322022114,1756908
"Jan 10, 2022",323733954,1711840
"Jan 11, 2022",325393805,1659851
"Jan 12, 2022",327053655,1659850
"Jan 13, 2022",328780278,1726623
"Jan 14, 2022",330530772,1750494
"Jan 15, 2022",332297473,1766701
"Jan 16, 2022",333835142,1537669
"Jan 17, 2022",335383772,1548630
"Jan 18, 2022",336174330,790558
