Date,Likes,Change
"Mar 11, 2019",57798,0
"Mar 12, 2019",57798,0
"Mar 13, 2019",57798,0
"Mar 14, 2019",58565,767
"Mar 15, 2019",58565,0
"Mar 16, 2019",58565,0
"Mar 17, 2019",58565,0
"Mar 18, 2019",58565,0
"Mar 19, 2019",58565,0
"Mar 20, 2019",58565,0
"Mar 21, 2019",58565,0
"Mar 22, 2019",58565,0
"Mar 23, 2019",58565,0
"Mar 24, 2019",58565,0
"Mar 25, 2019",58565,0
"Mar 26, 2019",58565,0
"Mar 27, 2019",58565,0
"Mar 28, 2019",58565,0
"Mar 29, 2019",58565,0
"Mar 30, 2019",58565,0
"Mar 31, 2019",58565,0
"Apr 1, 2019",58565,0
"Apr 2, 2019",58565,0
"Apr 3, 2019",58565,0
"Apr 4, 2019",58565,0
"Apr 5, 2019",58565,0
"Apr 6, 2019",58565,0
"Apr 7, 2019",58565,0
"Apr 8, 2019",58565,0
"Apr 9, 2019",58565,0
"Apr 10, 2019",58565,0
"Apr 11, 2019",58565,0
"Apr 12, 2019",58565,0
"Apr 13, 2019",58565,0
"Apr 14, 2019",59456,891
"Apr 15, 2019",59456,0
"Apr 16, 2019",59456,0
"Apr 17, 2019",59456,0
"Apr 18, 2019",59456,0
"Apr 19, 2019",59456,0
"Apr 20, 2019",59456,0
"Apr 21, 2019",59456,0
"Apr 22, 2019",59456,0
"Apr 23, 2019",59456,0
"Apr 24, 2019",59456,0
"Apr 25, 2019",59456,0
"Apr 26, 2019",59456,0
"Apr 27, 2019",59456,0
"Apr 28, 2019",59456,0
"Apr 29, 2019",59456,0
"Apr 30, 2019",59456,0
"May 1, 2019",59456,0
"May 2, 2019",59456,0
"May 3, 2019",59456,0
"May 4, 2019",59456,0
"May 5, 2019",59456,0
"May 6, 2019",59456,0
"May 7, 2019",59456,0
"May 8, 2019",59456,0
"May 9, 2019",59456,0
"May 10, 2019",59456,0
"May 11, 2019",59456,0
"May 12, 2019",59456,0
"May 13, 2019",59456,0
"May 14, 2019",59456,0
"May 15, 2019",60080,624
"May 16, 2019",60080,0
"May 17, 2019",60080,0
"May 18, 2019",60080,0
"May 19, 2019",60080,0
"May 20, 2019",60080,0
"May 21, 2019",60080,0
"May 22, 2019",60080,0
"May 23, 2019",60080,0
"May 24, 2019",60080,0
"May 25, 2019",60080,0
"May 26, 2019",60080,0
