Date,Likes,Change
"Nov 9, 2022",29361,0
"Nov 10, 2022",48580,19219
"Nov 11, 2022",70967,22387
"Nov 12, 2022",95757,24790
"Nov 13, 2022",113207,17450
"Nov 14, 2022",130540,17333
"Nov 15, 2022",144850,14310
"Nov 16, 2022",159250,14400
"Nov 17, 2022",174305,15055
"Nov 18, 2022",192389,18084
"Nov 19, 2022",215866,23477
"Nov 20, 2022",238257,22391
"Nov 21, 2022",260149,21892
"Nov 22, 2022",282461,22312
"Nov 23, 2022",305032,22571
"Nov 24, 2022",326753,21721
"Nov 25, 2022",350475,23722
"Nov 26, 2022",371668,21193
"Nov 27, 2022",391153,19485
"Nov 28, 2022",407635,16482
"Nov 29, 2022",422734,15099
"Nov 30, 2022",436193,13459
"Dec 1, 2022",448950,12757
"Dec 2, 2022",460429,11479
"Dec 3, 2022",472061,11632
"Dec 4, 2022",483301,11240
"Dec 5, 2022",493463,10162
"Dec 6, 2022",503043,9580
"Dec 7, 2022",512615,9572
"Dec 8, 2022",522334,9719
"Dec 9, 2022",531898,9564
"Dec 10, 2022",540965,9067
"Dec 11, 2022",549577,8612
"Dec 12, 2022",556729,7152
"Dec 13, 2022",563841,7112
"Dec 14, 2022",570848,7007
"Dec 15, 2022",577380,6532
"Dec 16, 2022",583816,6436
"Dec 17, 2022",590655,6839
"Dec 18, 2022",597109,6454
"Dec 19, 2022",602719,5610
"Dec 20, 2022",608243,5524
"Dec 21, 2022",613693,5450
"Dec 22, 2022",619140,5447
"Dec 23, 2022",624695,5555
"Dec 24, 2022",630632,5937
"Dec 25, 2022",636257,5625
"Dec 26, 2022",641212,4955
"Dec 27, 2022",646051,4839
"Dec 28, 2022",650853,4802
"Dec 29, 2022",655407,4554
"Dec 30, 2022",659848,4441
"Dec 31, 2022",665113,5265
"Jan 1, 2023",669726,4613
"Jan 2, 2023",673449,3723
"Jan 3, 2023",677029,3580
"Jan 4, 2023",680437,3408
"Jan 5, 2023",683829,3392
"Jan 6, 2023",687408,3579
"Jan 7, 2023",690912,3504
"Jan 8, 2023",694462,3550
"Jan 9, 2023",697718,3256
"Jan 10, 2023",701014,3296
"Jan 11, 2023",704263,3249
"Jan 12, 2023",707580,3317
"Jan 13, 2023",711171,3591
"Jan 14, 2023",714836,3665
"Jan 15, 2023",718059,3223
"Jan 16, 2023",720705,2646
"Jan 17, 2023",723365,2660
"Jan 18, 2023",725949,2584
"Jan 19, 2023",728675,2726
"Jan 20, 2023",731422,2747
"Jan 21, 2023",734292,2870
"Jan 22, 2023",737319,3027
"Jan 23, 2023",739866,2547
"Jan 24, 2023",742305,2439
"Jan 25, 2023",744941,2636
"Jan 26, 2023",747684,2743
"Jan 27, 2023",750142,2458
"Jan 28, 2023",752633,2491
"Jan 29, 2023",754992,2359
"Jan 30, 2023",757072,2080
"Jan 31, 2023",759340,2268
"Feb 1, 2023",761334,1994
"Feb 2, 2023",763379,2045
"Feb 3, 2023",765463,2084
"Feb 4, 2023",767689,2226
"Feb 5, 2023",769948,2259
"Feb 6, 2023",771904,1956
"Feb 7, 2023",773815,1911
"Feb 8, 2023",777013,3198
"Feb 9, 2023",779497,2484
"Feb 10, 2023",781247,1750
"Feb 11, 2023",782640,1393
"Feb 12, 2023",783914,1274
"Feb 13, 2023",784868,954
"Feb 14, 2023",785748,880
"Feb 15, 2023",786507,759
"Feb 16, 2023",787284,777
"Feb 17, 2023",787957,673
"Feb 18, 2023",788807,850
"Feb 19, 2023",789220,413
"Feb 20, 2023",789722,502
"Feb 21, 2023",790255,533
"Feb 22, 2023",790843,588
"Feb 23, 2023",791418,575
"Feb 24, 2023",791977,559
"Feb 25, 2023",792498,521
"Feb 26, 2023",793027,529
"Feb 27, 2023",793466,439
"Feb 28, 2023",793832,366
"Mar 1, 2023",794196,364
"Mar 2, 2023",794590,394
"Mar 3, 2023",795005,415
"Mar 4, 2023",795463,458
"Mar 5, 2023",795890,427
"Mar 6, 2023",796253,363
"Mar 7, 2023",796619,366
"Mar 8, 2023",796997,378
"Mar 9, 2023",797323,326
"Mar 10, 2023",797636,313
"Mar 11, 2023",797994,358
"Mar 12, 2023",798349,355
"Mar 13, 2023",798640,291
"Mar 14, 2023",798872,232
"Mar 15, 2023",799155,283
"Mar 16, 2023",799506,351
"Mar 17, 2023",799787,281
"Mar 18, 2023",800074,287
"Mar 19, 2023",800337,263
"Mar 20, 2023",800600,263
"Mar 21, 2023",800863,263
"Mar 22, 2023",801138,275
"Mar 23, 2023",801397,259
"Mar 24, 2023",801647,250
"Mar 25, 2023",801896,249
"Mar 26, 2023",802169,273
"Mar 27, 2023",802417,248
"Mar 28, 2023",802672,255
"Mar 29, 2023",802908,236
"Mar 30, 2023",803105,197
"Mar 31, 2023",803297,192
"Apr 1, 2023",803461,164
"Apr 2, 2023",803642,181
"Apr 3, 2023",803799,157
"Apr 4, 2023",803956,157
"Apr 5, 2023",804130,174
"Apr 6, 2023",804313,183
"Apr 7, 2023",804506,193
"Apr 8, 2023",804740,234
"Apr 9, 2023",804856,116
"Apr 10, 2023",805023,167
"Apr 11, 2023",805169,146
"Apr 12, 2023",805316,147
"Apr 13, 2023",805462,146
"Apr 14, 2023",805620,158
"Apr 15, 2023",805756,136
"Apr 16, 2023",805900,144
"Apr 17, 2023",806011,111
"Apr 18, 2023",806122,111
"Apr 19, 2023",806243,121
"Apr 20, 2023",806362,119
"Apr 21, 2023",806482,120
"Apr 22, 2023",806626,144
"Apr 23, 2023",806774,148
"Apr 24, 2023",806898,124
"Apr 25, 2023",807017,119
"Apr 26, 2023",807131,114
"Apr 27, 2023",807232,101
"Apr 28, 2023",807376,144
"Apr 29, 2023",807502,126
"Apr 30, 2023",807616,114
"May 1, 2023",807715,99
"May 2, 2023",807806,91
"May 3, 2023",807878,72
"May 4, 2023",807967,89
"May 5, 2023",808055,88
"May 6, 2023",808161,106
"May 7, 2023",808270,109
"May 8, 2023",808363,93
"May 9, 2023",808460,97
"May 10, 2023",808535,75
"May 11, 2023",808639,104
"May 12, 2023",808778,139
"May 13, 2023",808878,100
"May 14, 2023",808983,105
"May 15, 2023",809106,123
"May 16, 2023",809195,89
"May 17, 2023",809271,76
"May 18, 2023",809349,78
"May 19, 2023",809438,89
"May 20, 2023",809527,89
"May 21, 2023",809598,71
"May 22, 2023",809668,70
"May 23, 2023",809727,59
"May 24, 2023",809803,76
"May 25, 2023",809894,91
"May 26, 2023",809996,102
"May 27, 2023",810077,81
"May 28, 2023",810200,123
"May 29, 2023",810323,123
"May 30, 2023",810446,123
"May 31, 2023",810511,65
"Jun 1, 2023",810708,197
"Jun 2, 2023",810799,91
"Jun 3, 2023",810907,108
"Jun 4, 2023",811056,149
"Jun 5, 2023",811142,86
"Jun 6, 2023",811237,95
"Jun 7, 2023",811335,98
"Jun 8, 2023",811435,100
"Jun 9, 2023",811535,100
