Date,Likes,Change
"Mar 11, 2019",10767,0
"Mar 12, 2019",10767,0
"Mar 13, 2019",10767,0
"Mar 14, 2019",10767,0
"Mar 15, 2019",10767,0
"Mar 16, 2019",10767,0
"Mar 17, 2019",10767,0
"Mar 18, 2019",11101,334
"Mar 19, 2019",11101,0
"Mar 20, 2019",11101,0
"Mar 21, 2019",11101,0
"Mar 22, 2019",11101,0
"Mar 23, 2019",11101,0
"Mar 24, 2019",11101,0
"Mar 25, 2019",11101,0
"Mar 26, 2019",11101,0
"Mar 27, 2019",11101,0
"Mar 28, 2019",11101,0
"Mar 29, 2019",11101,0
"Mar 30, 2019",11101,0
"Mar 31, 2019",11101,0
"Apr 1, 2019",11101,0
"Apr 2, 2019",11101,0
"Apr 3, 2019",11101,0
"Apr 4, 2019",11101,0
"Apr 5, 2019",11101,0
"Apr 6, 2019",11101,0
"Apr 7, 2019",11101,0
"Apr 8, 2019",11101,0
"Apr 9, 2019",11101,0
"Apr 10, 2019",11101,0
"Apr 11, 2019",11101,0
"Apr 12, 2019",11101,0
"Apr 13, 2019",11101,0
"Apr 14, 2019",11101,0
"Apr 15, 2019",11101,0
"Apr 16, 2019",11101,0
"Apr 17, 2019",11101,0
"Apr 18, 2019",11101,0
"Apr 19, 2019",11794,693
"Apr 20, 2019",11794,0
"Apr 21, 2019",11794,0
"Apr 22, 2019",11794,0
"Apr 23, 2019",11794,0
"Apr 24, 2019",11794,0
"Apr 25, 2019",11794,0
"Apr 26, 2019",11794,0
"Apr 27, 2019",11794,0
"Apr 28, 2019",11794,0
"Apr 29, 2019",11794,0
"Apr 30, 2019",11794,0
"May 1, 2019",11794,0
"May 2, 2019",11794,0
"May 3, 2019",11794,0
"May 4, 2019",11794,0
"May 5, 2019",11794,0
"May 6, 2019",11794,0
"May 7, 2019",11794,0
"May 8, 2019",11794,0
"May 9, 2019",11794,0
"May 10, 2019",11794,0
"May 11, 2019",11794,0
"May 12, 2019",11794,0
"May 13, 2019",11794,0
"May 14, 2019",11794,0
"May 15, 2019",11794,0
"May 16, 2019",11794,0
"May 17, 2019",11794,0
"May 18, 2019",11794,0
"May 19, 2019",12072,278
"May 20, 2019",12072,0
"May 21, 2019",12072,0
"May 22, 2019",12072,0
"May 23, 2019",12072,0
"May 24, 2019",12072,0
"May 25, 2019",12072,0
"May 26, 2019",12072,0
"May 27, 2019",12072,0
"May 28, 2019",12072,0
"May 29, 2019",12072,0
"May 30, 2019",12072,0
"May 31, 2019",12072,0
"Jun 1, 2019",12072,0
"Jun 2, 2019",12072,0
"Jun 3, 2019",12072,0
"Jun 4, 2019",12072,0
"Jun 5, 2019",12072,0
"Jun 6, 2019",12072,0
"Jun 7, 2019",12072,0
"Jun 8, 2019",12072,0
"Jun 9, 2019",12072,0
"Jun 10, 2019",12123,51
"Jun 11, 2019",12174,51
"Jun 12, 2019",12225,51
"Jun 13, 2019",12277,52
"Jun 14, 2019",12328,51
"Jun 15, 2019",12379,51
"Jun 16, 2019",12430,51
"Jun 17, 2019",12461,31
"Jun 18, 2019",12493,32
"Jun 19, 2019",12524,31
"Jun 20, 2019",12555,31
"Jun 21, 2019",12579,24
"Jun 22, 2019",12602,23
"Jun 23, 2019",12626,24
"Jun 24, 2019",12642,16
"Jun 25, 2019",12643,1
"Jun 26, 2019",12653,10
"Jun 27, 2019",12658,5
"Jun 28, 2019",12686,28
"Jun 29, 2019",12722,36
"Jun 30, 2019",12736,14
"Jul 1, 2019",12759,23
"Jul 2, 2019",12782,23
"Jul 3, 2019",12819,37
"Jul 4, 2019",12836,17
"Jul 5, 2019",12846,10
"Jul 6, 2019",12850,4
"Jul 7, 2019",12855,5
"Jul 8, 2019",12862,7
"Jul 9, 2019",12869,7
"Jul 10, 2019",12878,9
"Jul 11, 2019",12886,8
"Jul 12, 2019",12891,5
"Jul 13, 2019",12898,7
"Jul 14, 2019",12901,3
"Jul 15, 2019",12907,6
"Jul 16, 2019",12915,8
"Jul 17, 2019",12927,12
"Jul 18, 2019",12938,11
"Jul 19, 2019",12945,7
"Jul 20, 2019",12950,5
"Jul 21, 2019",12960,10
"Jul 22, 2019",12964,4
"Jul 23, 2019",12968,4
"Jul 24, 2019",12973,5
"Jul 25, 2019",12977,4
"Jul 26, 2019",12983,6
"Jul 27, 2019",12990,7
"Jul 28, 2019",12997,7
"Jul 29, 2019",13003,6
"Jul 30, 2019",13007,4
"Jul 31, 2019",13022,15
"Aug 1, 2019",13030,8
"Aug 2, 2019",13038,8
"Aug 3, 2019",13048,10
"Aug 4, 2019",13057,9
"Aug 5, 2019",13062,5
"Aug 6, 2019",13070,8
"Aug 7, 2019",13075,5
"Aug 8, 2019",13082,7
"Aug 9, 2019",13093,11
"Aug 10, 2019",13115,22
"Aug 11, 2019",13135,20
"Aug 12, 2019",13151,16
"Aug 13, 2019",13170,19
"Aug 14, 2019",13191,21
"Aug 15, 2019",13214,23
"Aug 16, 2019",13232,18
"Aug 17, 2019",13249,17
"Aug 18, 2019",13261,12
"Aug 19, 2019",13274,13
"Aug 20, 2019",13285,11
"Aug 21, 2019",13294,9
"Aug 22, 2019",13303,9
"Aug 23, 2019",13306,3
"Aug 24, 2019",13314,8
"Aug 25, 2019",13326,12
"Aug 26, 2019",13338,12
"Aug 27, 2019",13354,16
"Aug 28, 2019",13357,3
"Aug 29, 2019",13362,5
"Aug 30, 2019",13375,13
"Aug 31, 2019",13385,10
"Sep 1, 2019",13393,8
"Sep 2, 2019",13407,14
"Sep 3, 2019",13418,11
"Sep 4, 2019",13434,16
"Sep 5, 2019",13443,9
"Sep 6, 2019",13455,12
"Sep 7, 2019",13472,17
"Sep 8, 2019",13486,14
"Sep 9, 2019",13503,17
"Sep 10, 2019",13535,32
"Sep 11, 2019",13546,11
"Sep 12, 2019",13554,8
"Sep 13, 2019",13564,10
"Sep 14, 2019",13574,10
"Sep 15, 2019",13580,6
"Sep 16, 2019",13591,11
"Sep 17, 2019",13602,11
"Sep 18, 2019",13614,12
"Sep 19, 2019",13625,11
"Sep 20, 2019",13637,12
"Sep 21, 2019",13648,11
"Sep 22, 2019",13659,11
"Sep 23, 2019",13671,12
"Sep 24, 2019",13682,11
"Sep 25, 2019",13693,11
"Sep 26, 2019",13705,12
"Sep 27, 2019",13716,11
"Sep 28, 2019",13728,12
"Sep 29, 2019",13739,11
"Sep 30, 2019",13750,11
"Oct 1, 2019",13762,12
"Oct 2, 2019",13773,11
"Oct 3, 2019",13785,12
"Oct 4, 2019",13796,11
"Oct 5, 2019",13807,11
"Oct 6, 2019",13819,12
"Oct 7, 2019",13830,11
"Oct 8, 2019",13841,11
"Oct 9, 2019",13853,12
"Oct 10, 2019",13864,11
"Oct 11, 2019",13876,12
"Oct 12, 2019",13887,11
"Oct 13, 2019",13898,11
"Oct 14, 2019",13910,12
"Oct 15, 2019",13921,11
"Oct 16, 2019",13933,12
"Oct 17, 2019",13944,11
"Oct 18, 2019",13955,11
"Oct 19, 2019",13967,12
"Oct 20, 2019",13978,11
"Oct 21, 2019",13989,11
"Oct 22, 2019",14001,12
"Oct 23, 2019",14012,11
"Oct 24, 2019",14024,12
"Oct 25, 2019",14035,11
"Oct 26, 2019",14046,11
"Oct 27, 2019",14058,12
"Oct 28, 2019",14069,11
"Oct 29, 2019",14081,12
"Oct 30, 2019",14092,11
"Oct 31, 2019",14103,11
"Nov 1, 2019",14115,12
"Nov 2, 2019",14126,11
"Nov 3, 2019",14137,11
"Nov 4, 2019",14149,12
"Nov 5, 2019",14160,11
"Nov 6, 2019",14172,12
"Nov 7, 2019",14183,11
"Nov 8, 2019",14194,11
"Nov 9, 2019",14206,12
"Nov 10, 2019",14217,11
"Nov 11, 2019",14229,12
"Nov 12, 2019",14240,11
"Nov 13, 2019",14251,11
"Nov 14, 2019",14263,12
"Nov 15, 2019",14274,11
"Nov 16, 2019",14285,11
"Nov 17, 2019",14297,12
"Nov 18, 2019",14308,11
"Nov 19, 2019",14320,12
"Nov 20, 2019",14331,11
"Nov 21, 2019",14342,11
"Nov 22, 2019",14354,12
"Nov 23, 2019",14365,11
"Nov 24, 2019",14377,12
