Date,Spotify Streams,Change
"Oct 5, 2023",0,0
"Oct 6, 2023",120465,120465
"Oct 7, 2023",181522,61057
"Oct 8, 2023",218058,36536
"Oct 9, 2023",244387,26229
"Oct 10, 2023",264957,20670
"Oct 11, 2023",281758,16801
"Oct 12, 2023",295866,14108
"Oct 13, 2023",307935,12069
"Oct 14, 2023",318396,8461
"Oct 15, 2023",327551,9155
"Oct 16, 2023",335618,8067
"Oct 17, 2023",335618,0
"Oct 18, 2023",366539,30921
"Oct 19, 2023",397096,30557
"Oct 20, 2023",458815,61719
"Oct 21, 2023",458815,0
"Oct 22, 2023",499195,40380
"Oct 23, 2023",540011,40816
"Oct 24, 2023",579946,39935
"Oct 25, 2023",617252,37306
"Oct 26, 2023",648887,31635
"Oct 27, 2023",680459,31572
"Oct 28, 2023",711984,31525
"Oct 29, 2023",746220,34236
"Oct 30, 2023",780455,34236
"Oct 31, 2023",808179,27724
"Nov 1, 2023",839541,31362
"Nov 2, 2023",869343,29802
"Nov 3, 2023",927194,57851
"Nov 4, 2023",958878,31684
"Nov 5, 2023",987411,28533
"Nov 6, 2023",1015943,28533
"Nov 7, 2023",1015943,0
"Nov 8, 2023",1041702,25759
"Nov 9, 2023",1067747,26045
"Nov 10, 2023",1094869,27122
"Nov 11, 2023",1124218,29349
"Nov 12, 2023",1153567,29349
"Nov 13, 2023",1181223,27656
"Nov 14, 2023",1203744,22521
"Nov 15, 2023",1226580,22836
"Nov 16, 2023",1247602,21022
"Nov 17, 2023",1269524,21922
"Nov 18, 2023",1269524,0
"Nov 19, 2023",1269524,0
"Nov 20, 2023",1363781,94257
"Nov 21, 2023",1363781,0
"Nov 22, 2023",1384928,21147
"Nov 23, 2023",1406710,21782
"Nov 24, 2023",1429564,22854
"Nov 25, 2023",1476295,46731
"Nov 26, 2023",1500038,23743
"Nov 27, 2023",1500038,0
"Nov 28, 2023",1519367,19329
"Nov 29, 2023",1540446,21079
"Nov 30, 2023",1561057,20611
"Dec 1, 2023",1602277,41220
"Dec 2, 2023",1602277,0
"Dec 3, 2023",1622423,20146
"Dec 4, 2023",1641864,19441
"Dec 5, 2023",1658142,16278
"Dec 6, 2023",1675150,17008
"Dec 7, 2023",1692212,17062
"Dec 8, 2023",1709563,17351
"Dec 9, 2023",1726973,17410
"Dec 10, 2023",1746181,19208
"Dec 11, 2023",1764541,18360
"Dec 12, 2023",1780818,16277
"Dec 13, 2023",1812724,31906
"Dec 14, 2023",1820725,8001
"Dec 15, 2023",1828725,8001
"Dec 16, 2023",1863367,34642
"Dec 17, 2023",1871803,8436
"Dec 18, 2023",1880238,8436
"Dec 19, 2023",1894770,14532
"Dec 20, 2023",1907578,12808
"Dec 21, 2023",1921719,14141
"Dec 22, 2023",1935859,14141
"Dec 23, 2023",1968824,32965
"Dec 24, 2023",1985453,16629
"Dec 25, 2023",1985453,0
"Dec 26, 2023",2001203,15750
"Dec 27, 2023",2016953,15750
"Dec 28, 2023",2047373,30420
"Dec 29, 2023",2047373,0
"Dec 30, 2023",2062933,15560
"Dec 31, 2023",2079567,16634
"Jan 1, 2024",2110914,31347
"Jan 2, 2024",2110914,0
"Jan 3, 2024",2124344,13430
"Jan 4, 2024",2137774,13430
"Jan 5, 2024",2150674,12900
"Jan 6, 2024",2164681,14007
"Jan 7, 2024",2178688,14007
"Jan 8, 2024",2192918,14230
"Jan 9, 2024",2207148,14230
"Jan 10, 2024",2232476,25328
"Jan 11, 2024",2244999,12523
"Jan 12, 2024",2251650,6651
"Jan 13, 2024",2258301,6651
"Jan 14, 2024",2287666,29365
"Jan 15, 2024",2293990,6324
