Date,Total Views,Change
"Mar 18, 2020",0,0
"Mar 19, 2020",15010,15010
"Mar 20, 2020",29990,14980
"Mar 21, 2020",44938,14948
"Mar 22, 2020",59853,14915
"Mar 23, 2020",74734,14881
"Mar 24, 2020",89579,14845
"Mar 25, 2020",104386,14807
"Mar 26, 2020",119156,14770
"Mar 27, 2020",133885,14729
"Mar 28, 2020",148573,14688
"Mar 29, 2020",163218,14645
"Mar 30, 2020",177819,14601
"Mar 31, 2020",192375,14556
"Apr 1, 2020",206885,14510
"Apr 2, 2020",221347,14462
"Apr 3, 2020",235760,14413
"Apr 4, 2020",250123,14363
"Apr 5, 2020",264435,14312
"Apr 6, 2020",278694,14259
"Apr 7, 2020",292900,14206
"Apr 8, 2020",307052,14152
"Apr 9, 2020",321148,14096
"Apr 10, 2020",335187,14039
"Apr 11, 2020",349169,13982
"Apr 12, 2020",363093,13924
"Apr 13, 2020",376957,13864
"Apr 14, 2020",390762,13805
"Apr 15, 2020",404505,13743
"Apr 16, 2020",418187,13682
"Apr 17, 2020",431806,13619
"Apr 18, 2020",445363,13557
"Apr 19, 2020",458855,13492
"Apr 20, 2020",472284,13429
"Apr 21, 2020",485647,13363
"Apr 22, 2020",498945,13298
"Apr 23, 2020",512177,13232
"Apr 24, 2020",525343,13166
"Apr 25, 2020",538442,13099
"Apr 26, 2020",551474,13032
"Apr 27, 2020",564438,12964
"Apr 28, 2020",577335,12897
"Apr 29, 2020",590163,12828
"Apr 30, 2020",602924,12761
"May 1, 2020",615615,12691
"May 2, 2020",628238,12623
"May 3, 2020",640792,12554
"May 4, 2020",653278,12486
"May 5, 2020",665694,12416
"May 6, 2020",678041,12347
"May 7, 2020",690320,12279
"May 8, 2020",702529,12209
"May 9, 2020",714670,12141
"May 10, 2020",726741,12071
"May 11, 2020",738744,12003
"May 12, 2020",750679,11935
"May 13, 2020",762545,11866
"May 14, 2020",774342,11797
"May 15, 2020",786072,11730
"May 16, 2020",797733,11661
"May 17, 2020",809328,11595
"May 18, 2020",820855,11527
"May 19, 2020",832314,11459
"May 20, 2020",843707,11393
