Date,Likes,Change
"Oct 25, 2022",278113,0
"Oct 26, 2022",288172,10059
"Oct 27, 2022",306014,17842
"Oct 28, 2022",322584,16570
"Oct 29, 2022",342986,20402
"Oct 30, 2022",361935,18949
"Oct 31, 2022",376678,14743
"Nov 1, 2022",389173,12495
"Nov 2, 2022",400167,10994
"Nov 3, 2022",411953,11786
"Nov 4, 2022",427551,15598
"Nov 5, 2022",443148,15597
"Nov 6, 2022",443509,361
"Nov 7, 2022",451678,8169
"Nov 8, 2022",459304,7626
"Nov 9, 2022",465964,6660
"Nov 10, 2022",466113,149
"Nov 11, 2022",466263,150
"Nov 12, 2022",466412,149
"Nov 13, 2022",466561,149
"Nov 14, 2022",466710,149
"Nov 15, 2022",466860,150
"Nov 16, 2022",467009,149
"Nov 17, 2022",467158,149
"Nov 18, 2022",467307,149
"Nov 19, 2022",467457,150
"Nov 20, 2022",467606,149
"Nov 21, 2022",467755,149
"Nov 22, 2022",467904,149
"Nov 23, 2022",468054,150
"Nov 24, 2022",468203,149
"Nov 25, 2022",468352,149
"Nov 26, 2022",468501,149
"Nov 27, 2022",468651,150
"Nov 28, 2022",468800,149
"Nov 29, 2022",472136,3336
"Nov 30, 2022",475472,3336
"Dec 1, 2022",478808,3336
"Dec 2, 2022",482144,3336
"Dec 3, 2022",485480,3336
"Dec 4, 2022",499419,13939
"Dec 5, 2022",509008,9589
"Dec 6, 2022",516576,7568
"Dec 7, 2022",523766,7190
"Dec 8, 2022",530834,7068
"Dec 9, 2022",537013,6179
"Dec 10, 2022",543290,6277
"Dec 11, 2022",549793,6503
"Dec 12, 2022",555289,5496
"Dec 13, 2022",561061,5772
"Dec 14, 2022",567751,6690
"Dec 15, 2022",573818,6067
"Dec 16, 2022",579650,5832
"Dec 17, 2022",585056,5406
"Dec 18, 2022",590562,5506
"Dec 19, 2022",594476,3914
"Dec 20, 2022",598261,3785
"Dec 21, 2022",602248,3987
"Dec 22, 2022",605580,3332
"Dec 23, 2022",609281,3701
"Dec 24, 2022",613323,4042
"Dec 25, 2022",617354,4031
"Dec 26, 2022",620801,3447
"Dec 27, 2022",624342,3541
"Dec 28, 2022",627821,3479
"Dec 29, 2022",631379,3558
"Dec 30, 2022",634911,3532
"Dec 31, 2022",638793,3882
"Jan 1, 2023",642444,3651
"Jan 2, 2023",645368,2924
"Jan 3, 2023",648020,2652
"Jan 4, 2023",650758,2738
"Jan 5, 2023",653273,2515
"Jan 6, 2023",656023,2750
"Jan 7, 2023",659096,3073
"Jan 8, 2023",662302,3206
"Jan 9, 2023",664630,2328
"Jan 10, 2023",667078,2448
"Jan 11, 2023",669592,2514
"Jan 12, 2023",672373,2781
"Jan 13, 2023",675485,3112
"Jan 14, 2023",679389,3904
"Jan 15, 2023",683171,3782
"Jan 16, 2023",686561,3390
"Jan 17, 2023",689561,3000
"Jan 18, 2023",692135,2574
"Jan 19, 2023",694795,2660
"Jan 20, 2023",697768,2973
"Jan 21, 2023",701089,3321
"Jan 22, 2023",704708,3619
"Jan 23, 2023",707422,2714
"Jan 24, 2023",709841,2419
"Jan 25, 2023",712402,2561
"Jan 26, 2023",715249,2847
"Jan 27, 2023",717701,2452
"Jan 28, 2023",720461,2760
"Jan 29, 2023",723175,2714
"Jan 30, 2023",725330,2155
"Jan 31, 2023",727501,2171
"Feb 1, 2023",729499,1998
"Feb 2, 2023",731606,2107
"Feb 3, 2023",733884,2278
"Feb 4, 2023",736195,2311
"Feb 5, 2023",738734,2539
"Feb 6, 2023",740604,1870
"Feb 7, 2023",742494,1890
"Feb 8, 2023",744455,1961
"Feb 9, 2023",746236,1781
"Feb 10, 2023",748252,2016
"Feb 11, 2023",750576,2324
"Feb 12, 2023",753047,2471
"Feb 13, 2023",754982,1935
"Feb 14, 2023",756997,2015
"Feb 15, 2023",758892,1895
"Feb 16, 2023",760824,1932
"Feb 17, 2023",762903,2079
"Feb 18, 2023",766895,3992
"Feb 19, 2023",768591,1696
"Feb 20, 2023",770548,1957
"Feb 21, 2023",772582,2034
"Feb 22, 2023",774592,2010
"Feb 23, 2023",776615,2023
"Feb 24, 2023",778784,2169
"Feb 25, 2023",781167,2383
"Feb 26, 2023",783795,2628
"Feb 27, 2023",785776,1981
"Feb 28, 2023",787780,2004
"Mar 1, 2023",789562,1782
"Mar 2, 2023",791303,1741
"Mar 3, 2023",793073,1770
"Mar 4, 2023",795155,2082
"Mar 5, 2023",797422,2267
"Mar 6, 2023",799162,1740
"Mar 7, 2023",801267,2105
"Mar 8, 2023",803539,2272
"Mar 9, 2023",805655,2116
"Mar 10, 2023",807901,2246
"Mar 11, 2023",810130,2229
"Mar 12, 2023",812430,2300
"Mar 13, 2023",814289,1859
"Mar 14, 2023",816510,2221
"Mar 15, 2023",818460,1950
"Mar 16, 2023",820853,2393
"Mar 17, 2023",823159,2306
"Mar 18, 2023",825503,2344
"Mar 19, 2023",828146,2643
"Mar 20, 2023",830622,2476
"Mar 21, 2023",832993,2371
"Mar 22, 2023",835723,2730
"Mar 23, 2023",838021,2298
"Mar 24, 2023",840418,2397
"Mar 25, 2023",843003,2585
"Mar 26, 2023",845843,2840
"Mar 27, 2023",848017,2174
"Mar 28, 2023",850066,2049
"Mar 29, 2023",852041,1975
"Mar 30, 2023",854272,2231
"Mar 31, 2023",856407,2135
"Apr 1, 2023",858474,2067
