Date,Spotify Streams,Change
"Aug 3, 2023",9974268,0
"Aug 4, 2023",9999173,24905
"Aug 5, 2023",10024079,24905
"Aug 6, 2023",10048984,24905
"Aug 7, 2023",10064228,15244
"Aug 8, 2023",10079472,15244
"Aug 9, 2023",10094717,15244
"Aug 10, 2023",10109961,15244
"Aug 11, 2023",10125205,15244
"Aug 12, 2023",10146268,21063
"Aug 13, 2023",10187294,41026
"Aug 14, 2023",10187294,0
"Aug 15, 2023",10206989,19695
"Aug 16, 2023",10226489,19500
"Aug 17, 2023",10246020,19531
"Aug 18, 2023",10265140,19120
"Aug 19, 2023",10284399,19259
"Aug 20, 2023",10303658,19259
"Aug 21, 2023",10322187,18529
"Aug 22, 2023",10340553,18366
"Aug 23, 2023",10359227,18674
"Aug 24, 2023",10377845,18618
"Aug 25, 2023",10377845,0
"Aug 26, 2023",10415162,37317
"Aug 27, 2023",10434614,19452
"Aug 28, 2023",10453432,18818
"Aug 29, 2023",10471924,18492
"Aug 30, 2023",10491113,19189
"Aug 31, 2023",10509737,18624
"Sep 1, 2023",10527734,17997
"Sep 2, 2023",10545730,17997
"Sep 3, 2023",10563197,17467
"Sep 4, 2023",10580819,17622
"Sep 5, 2023",10597934,17115
"Sep 6, 2023",10634546,36612
"Sep 7, 2023",10634546,0
"Sep 8, 2023",10651575,17029
"Sep 9, 2023",10668989,17414
"Sep 10, 2023",10687805,18816
"Sep 11, 2023",10705778,17973
"Sep 12, 2023",10723703,17925
"Sep 13, 2023",10742488,18785
"Sep 14, 2023",10761628,19140
"Sep 15, 2023",10780721,19093
"Sep 16, 2023",10799823,19102
"Sep 17, 2023",10838321,38498
"Sep 18, 2023",10838321,0
"Sep 19, 2023",10856961,18640
"Sep 20, 2023",10874524,17563
"Sep 21, 2023",10892520,17996
"Sep 22, 2023",10910878,18358
"Sep 23, 2023",10929508,18630
"Sep 24, 2023",10948137,18630
"Sep 25, 2023",10965921,17784
"Sep 26, 2023",10984432,18511
"Sep 27, 2023",11002769,18337
"Sep 28, 2023",11020915,18146
"Sep 29, 2023",11056345,35430
"Sep 30, 2023",11056345,0
"Oct 1, 2023",11075936,19591
"Oct 2, 2023",11094180,18244
"Oct 3, 2023",11111899,17719
"Oct 4, 2023",11129922,18023
"Oct 5, 2023",11147867,17945
"Oct 6, 2023",11165466,17599
"Oct 7, 2023",11202167,36701
"Oct 8, 2023",11202167,0
"Oct 9, 2023",11219493,17326
"Oct 10, 2023",11237446,17953
"Oct 11, 2023",11254936,17490
"Oct 12, 2023",11272262,17326
"Oct 13, 2023",11309669,37407
"Oct 14, 2023",11309669,0
"Oct 15, 2023",11326753,17084
"Oct 16, 2023",11342385,15632
"Oct 17, 2023",11374080,31695
"Oct 18, 2023",11374080,0
"Oct 19, 2023",11389638,15558
"Oct 20, 2023",11405071,15433
"Oct 21, 2023",11437147,32076
"Oct 22, 2023",11450921,13774
"Oct 23, 2023",11450921,0
"Oct 24, 2023",11465711,14790
"Oct 25, 2023",11479771,14060
"Oct 26, 2023",11494315,14544
"Oct 27, 2023",11509215,14900
"Oct 28, 2023",11524225,15010
"Oct 29, 2023",11553213,28988
"Oct 30, 2023",11553213,0
"Oct 31, 2023",11567946,14733
"Nov 1, 2023",11582875,14929
"Nov 2, 2023",11597792,14917
"Nov 3, 2023",11616685,18893
"Nov 4, 2023",11634392,17707
"Nov 5, 2023",11650849,16457
"Nov 6, 2023",11667306,16457
"Nov 7, 2023",11683718,16412
"Nov 8, 2023",11700308,16590
"Nov 9, 2023",11734011,33703
"Nov 10, 2023",11751000,16989
"Nov 11, 2023",11767490,16490
"Nov 12, 2023",11767490,0
"Nov 13, 2023",11780741,13251
"Nov 14, 2023",11795011,14270
"Nov 15, 2023",11809845,14834
"Nov 16, 2023",11823350,13505
"Nov 17, 2023",11839150,15800
"Nov 18, 2023",11839150,0
"Nov 19, 2023",11839150,0
"Nov 20, 2023",11883384,44234
"Nov 21, 2023",11898226,14842
"Nov 22, 2023",11913836,15610
"Nov 23, 2023",11929314,15478
"Nov 24, 2023",11944747,15433
"Nov 25, 2023",11960733,15986
"Nov 26, 2023",11976770,16037
"Nov 27, 2023",11991367,14597
"Nov 28, 2023",12006156,14789
"Nov 29, 2023",12020510,14354
"Nov 30, 2023",12035605,15095
"Dec 1, 2023",12050791,15186
"Dec 2, 2023",12080121,29330
"Dec 3, 2023",12080121,0
"Dec 4, 2023",12093883,13762
"Dec 5, 2023",12107946,14063
"Dec 6, 2023",12122029,14083
"Dec 7, 2023",12135710,13681
"Dec 8, 2023",12149864,14154
"Dec 9, 2023",12163844,13980
"Dec 10, 2023",12191073,27229
"Dec 11, 2023",12204476,13403
"Dec 12, 2023",12204476,0
"Dec 13, 2023",12217790,13314
"Dec 14, 2023",12231103,13314
"Dec 15, 2023",12244098,12995
"Dec 16, 2023",12257493,13395
"Dec 17, 2023",12271311,13818
"Dec 18, 2023",12284991,13680
"Dec 19, 2023",12298081,13090
"Dec 20, 2023",12310884,12803
"Dec 21, 2023",12323891,13007
"Dec 22, 2023",12336897,13007
"Dec 23, 2023",12349983,13086
"Dec 24, 2023",12363602,13619
"Dec 25, 2023",12390408,26806
"Dec 26, 2023",12390408,0
"Dec 27, 2023",12403252,12844
"Dec 28, 2023",12416100,12848
"Dec 29, 2023",12428947,12848
"Dec 30, 2023",12441972,13025
"Dec 31, 2023",12454997,13025
"Jan 1, 2024",12468939,13942
"Jan 2, 2024",12493658,24719
"Jan 3, 2024",12493658,0
"Jan 4, 2024",12505998,12340
"Jan 5, 2024",12518338,12340
"Jan 6, 2024",12531093,12755
"Jan 7, 2024",12543848,12755
"Jan 8, 2024",12556476,12628
"Jan 9, 2024",12569103,12628
"Jan 10, 2024",12582185,13082
"Jan 11, 2024",12595318,13133
"Jan 12, 2024",12608450,13133
"Jan 13, 2024",12621885,13435
"Jan 14, 2024",12635319,13435
"Jan 15, 2024",12649054,13735
"Jan 16, 2024",12662789,13735
"Jan 17, 2024",12689101,26312
"Jan 18, 2024",12695735,6634
"Jan 19, 2024",12702368,6634
"Jan 20, 2024",12716402,14034
"Jan 21, 2024",12730436,14034
"Jan 22, 2024",12743372,12936
"Jan 23, 2024",12754082,10710
"Jan 24, 2024",12780089,26007
"Jan 25, 2024",12780089,0
"Jan 26, 2024",12806627,26538
"Jan 27, 2024",12813271,6644
"Jan 28, 2024",12819915,6644
"Jan 29, 2024",12846111,26196
"Jan 30, 2024",12846111,0
"Jan 31, 2024",12874801,28690
"Feb 1, 2024",12882015,7214
"Feb 2, 2024",12889228,7214
"Feb 3, 2024",12903914,14686
"Feb 4, 2024",12918599,14686
"Feb 5, 2024",12932369,13770
"Feb 6, 2024",12946315,13946
"Feb 7, 2024",12960427,14112
"Feb 8, 2024",12974539,14112
"Feb 9, 2024",12988101,13562
"Feb 10, 2024",13001663,13562
"Feb 11, 2024",13015373,13710
"Feb 12, 2024",13029083,13710
"Feb 13, 2024",13042570,13487
"Feb 14, 2024",13056056,13487
"Feb 15, 2024",13083716,27660
"Feb 16, 2024",13083716,0
"Feb 17, 2024",13097750,14034
"Feb 18, 2024",13111783,14034
"Feb 19, 2024",13125091,13308
"Feb 20, 2024",13138562,13471
"Feb 21, 2024",13152469,13907
"Feb 22, 2024",13166411,13942
"Feb 23, 2024",13180352,13942
"Feb 24, 2024",13194813,14461
"Feb 25, 2024",13222377,27564
"Feb 26, 2024",13236020,13643
"Feb 27, 2024",13242957,6937
"Feb 28, 2024",13249894,6937
"Feb 29, 2024",13278082,28188
"Mar 1, 2024",13278082,0
"Mar 2, 2024",13292067,13985
"Mar 3, 2024",13306274,14207
"Mar 4, 2024",13320480,14207
"Mar 5, 2024",13334578,14098
"Mar 6, 2024",13348676,14098
"Mar 7, 2024",13363182,14506
"Mar 8, 2024",13377687,14506
"Mar 9, 2024",13390432,12745
