Date,Likes,Change
"Feb 1, 2025",91788,0
"Feb 2, 2025",265443,173655
"Feb 3, 2025",328553,63110
"Feb 4, 2025",391662,63109
"Feb 5, 2025",409341,17679
"Feb 6, 2025",427019,17678
"Feb 7, 2025",441540,14521
"Feb 8, 2025",456060,14520
"Feb 9, 2025",464675,8615
"Feb 10, 2025",473289,8614
"Feb 11, 2025",480936,7647
"Feb 12, 2025",488583,7647
"Feb 13, 2025",494035,5452
"Feb 14, 2025",499486,5451
"Feb 15, 2025",507083,7597
"Feb 16, 2025",514679,7596
"Feb 17, 2025",519944,5265
"Feb 18, 2025",525209,5265
"Feb 19, 2025",530474,5265
"Feb 20, 2025",536102,5628
"Feb 21, 2025",541731,5629
"Feb 22, 2025",547359,5628
"Feb 23, 2025",552987,5628
"Feb 24, 2025",558615,5628
"Feb 25, 2025",564244,5629
"Feb 26, 2025",569872,5628
"Feb 27, 2025",573920,4048
"Feb 28, 2025",577968,4048
"Mar 1, 2025",582016,4048
"Mar 2, 2025",584988,2972
"Mar 3, 2025",587961,2973
"Mar 4, 2025",590933,2972
"Mar 5, 2025",593905,2972
"Mar 6, 2025",597244,3339
"Mar 7, 2025",600584,3340
"Mar 8, 2025",603923,3339
"Mar 9, 2025",607207,3284
"Mar 10, 2025",610491,3284
"Mar 11, 2025",613775,3284
"Mar 12, 2025",616364,2589
"Mar 13, 2025",618954,2590
"Mar 14, 2025",621543,2589
"Mar 15, 2025",624423,2880
"Mar 16, 2025",627303,2880
"Mar 17, 2025",629051,1748
"Mar 18, 2025",630798,1747
"Mar 19, 2025",632546,1748
"Mar 20, 2025",634284,1738
"Mar 21, 2025",636021,1737
"Mar 22, 2025",637759,1738
"Mar 23, 2025",639877,2118
"Mar 24, 2025",641995,2118
"Mar 25, 2025",643706,1711
"Mar 26, 2025",645417,1711
"Mar 27, 2025",646685,1268
"Mar 28, 2025",647953,1268
"Mar 29, 2025",649221,1268
"Mar 30, 2025",650489,1268
"Mar 31, 2025",652226,1737
"Apr 1, 2025",653962,1736
"Apr 2, 2025",655699,1737
"Apr 3, 2025",657378,1679
"Apr 4, 2025",659056,1678
"Apr 5, 2025",660432,1376
"Apr 6, 2025",661809,1377
"Apr 7, 2025",663185,1376
"Apr 8, 2025",664698,1513
"Apr 9, 2025",666210,1512
"Apr 10, 2025",667289,1079
"Apr 11, 2025",668367,1078
"Apr 12, 2025",669446,1079
"Apr 13, 2025",670965,1519
"Apr 14, 2025",672483,1518
"Apr 15, 2025",674002,1519
"Apr 16, 2025",675139,1137
"Apr 17, 2025",676277,1138
"Apr 18, 2025",677414,1137
"Apr 19, 2025",678281,867
"Apr 20, 2025",679148,867
"Apr 21, 2025",679807,659
"Apr 22, 2025",680467,660
"Apr 23, 2025",681126,659
"Apr 24, 2025",682078,952
"Apr 25, 2025",683029,951
"Apr 26, 2025",683660,631
"Apr 27, 2025",684292,632
"Apr 28, 2025",684923,631
"Apr 29, 2025",685673,750
"Apr 30, 2025",686423,750
"May 1, 2025",687213,790
"May 2, 2025",688003,790
"May 3, 2025",688792,789
"May 4, 2025",689582,790
"May 5, 2025",690171,589
"May 6, 2025",690760,589
"May 7, 2025",691349,589
"May 8, 2025",691935,586
"May 9, 2025",692521,586
"May 10, 2025",693107,586
"May 11, 2025",694088,981
"May 12, 2025",695068,980
"May 13, 2025",695720,652
"May 14, 2025",696371,651
"May 15, 2025",697023,652
"May 16, 2025",697992,969
"May 17, 2025",698960,968
"May 18, 2025",699670,710
"May 19, 2025",700379,709
"May 20, 2025",701089,710
"May 21, 2025",701962,873
"May 22, 2025",702834,872
"May 23, 2025",703707,873
"May 24, 2025",704580,873
"May 25, 2025",705452,872
"May 26, 2025",706325,873
"May 27, 2025",707608,1283
"May 28, 2025",708890,1282
"May 29, 2025",710173,1283
"May 30, 2025",710801,628
"May 31, 2025",711428,627
"Jun 1, 2025",712056,628
"Jun 2, 2025",712683,627
"Jun 3, 2025",713532,849
"Jun 4, 2025",714382,850
"Jun 5, 2025",715231,849
"Jun 6, 2025",715886,655
"Jun 7, 2025",716540,654
"Jun 8, 2025",717160,620
"Jun 9, 2025",717780,620
"Jun 10, 2025",718347,567
"Jun 11, 2025",718858,511
"Jun 12, 2025",719369,511
"Jun 13, 2025",719904,535
"Jun 14, 2025",720438,534
"Jun 15, 2025",721145,707
"Jun 16, 2025",721689,544
"Jun 17, 2025",722600,911
"Jun 18, 2025",723511,911
"Jun 19, 2025",724421,910
"Jun 20, 2025",725332,911
"Jun 21, 2025",725844,512
"Jun 22, 2025",726356,512
"Jun 23, 2025",726868,512
"Jun 24, 2025",727748,880
"Jun 25, 2025",728196,448
"Jun 26, 2025",728644,448
"Jun 27, 2025",729045,401
"Jun 28, 2025",729583,538
"Jun 29, 2025",730121,538
"Jun 30, 2025",730942,821
"Jul 1, 2025",731763,821
"Jul 2, 2025",732334,571
"Jul 3, 2025",732906,572
