Date,Total Views,Change
"Dec 18, 2020",0,0
"Dec 19, 2020",13259,13259
"Dec 20, 2020",26066,12807
"Dec 21, 2020",38452,12386
"Dec 22, 2020",50446,11994
"Dec 23, 2020",62071,11625
"Dec 24, 2020",73352,11281
"Dec 25, 2020",84308,10956
"Dec 26, 2020",94959,10651
"Dec 27, 2020",105322,10363
"Dec 28, 2020",115412,10090
"Dec 29, 2020",125243,9831
"Dec 30, 2020",134829,9586
"Dec 31, 2020",144182,9353
"Jan 1, 2021",153313,9131
"Jan 2, 2021",162233,8920
"Jan 3, 2021",170952,8719
"Jan 4, 2021",179478,8526
"Jan 5, 2021",187820,8342
"Jan 6, 2021",195986,8166
"Jan 7, 2021",203983,7997
"Jan 8, 2021",211818,7835
"Jan 9, 2021",219498,7680
"Jan 10, 2021",227029,7531
"Jan 11, 2021",234417,7388
"Jan 12, 2021",241666,7249
"Jan 13, 2021",248783,7117
"Jan 14, 2021",255772,6989
"Jan 15, 2021",262637,6865
"Jan 16, 2021",269383,6746
"Jan 17, 2021",276015,6632
"Jan 18, 2021",282536,6521
"Jan 19, 2021",288949,6413
"Jan 20, 2021",295259,6310
"Jan 21, 2021",301469,6210
"Jan 22, 2021",307581,6112
"Jan 23, 2021",313600,6019
"Jan 24, 2021",319528,5928
"Jan 25, 2021",325368,5840
"Jan 26, 2021",331122,5754
"Jan 27, 2021",336794,5672
"Jan 28, 2021",342385,5591
"Jan 29, 2021",347898,5513
"Jan 30, 2021",353335,5437
"Jan 31, 2021",358699,5364
"Feb 1, 2021",363991,5292
"Feb 2, 2021",369214,5223
"Feb 3, 2021",374369,5155
"Feb 4, 2021",379459,5090
"Feb 5, 2021",384484,5025
"Feb 6, 2021",389448,4964
"Feb 7, 2021",394351,4903
"Feb 8, 2021",399195,4844
"Feb 9, 2021",403982,4787
"Feb 10, 2021",408714,4732
"Feb 11, 2021",413390,4676
"Feb 12, 2021",418014,4624
"Feb 13, 2021",422586,4572
"Feb 14, 2021",427108,4522
"Feb 15, 2021",431581,4473
"Feb 16, 2021",436006,4425
